tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2021-499,Delray Beach,Hard,28,250,O,20210107,1,HB05,,,Christian Harrison,R,180,USA,26.612,789,22,BS86,1,,Tomas Barrios Vera,R,191,CHI,23.077,254,218,6-4 6-4,3,Q1,81,8,3,68,44,32,16,10,6,6,2,1,53,30,20,16,10,0,2
2021-499,Delray Beach,Hard,28,250,O,20210107,2,GB61,2,,Viktor Galovic,R,193,CRO,30.303,284,180,DF88,,,Aziz Dougaz,L,188,TUN,23.786,377,109,6-4 6-3,3,Q1,79,0,2,59,36,24,14,9,4,5,4,2,61,33,20,15,10,2,6
2021-499,Delray Beach,Hard,28,250,O,20210107,3,O482,3,,Gonzalo Oliveira,L,185,VEN,25.889,289,176,D0DP,,,Liam Draxl,R,185,CAN,19.091,875,16,3-6 6-3 6-2,3,Q1,107,4,4,81,55,40,14,13,5,7,4,6,92,65,43,11,13,7,11
2021-499,Delray Beach,Hard,28,250,O,20210107,4,Y124,,,Donald Young,L,183,USA,31.461,327,135,SL94,4,,Pedro Sakamoto,R,178,BRA,27.526,290,174,3-6 6-4 6-2,3,Q1,121,1,11,102,60,42,19,14,6,9,4,2,90,53,32,17,13,5,9
2021-499,Delray Beach,Hard,28,250,O,20210107,5,Q941,,,Roberto Quiroz,L,193,ECU,28.873,293,171,E661,,,Gonzalo Escobar,L,178,ECU,31.964,435,87,6-4 6-7(6) 7-5,3,Q1,143,6,4,106,69,47,22,17,2,5,4,0,105,69,46,15,17,3,8
2021-499,Delray Beach,Hard,28,250,O,20210107,6,K0EQ,,,Zane Khan,R,185,USA,18.905,949,13,RC04,6,,Alexander Ritschard,R,193,SUI,26.793,297,167,6-3 3-1 RET,3,Q1,64,4,0,41,19,15,13,7,2,3,4,7,54,25,14,11,6,5,8
2021-499,Delray Beach,Hard,28,250,O,20210107,7,KB14,,,Kevin King,L,191,USA,29.859,304,154,LC54,,,Benjamin Lock,R,198,ZIM,27.847,439,86,6-2 6-3,3,Q1,69,2,3,53,39,32,4,9,4,5,1,2,50,33,24,4,8,1,5
2021-499,Delray Beach,Hard,28,250,O,20210107,8,KE64,,,Stefan Kozlov,R,183,USA,22.932,374,110,HB31,8,,Johannes Haerteis,L,196,GER,24.876,305,153,5-0 RET,3,Q1,16,1,0,20,16,12,3,3,1,1,0,3,9,4,1,0,2,0,2
2021-499,Delray Beach,Hard,28,250,O,20210107,9,Q941,,,Roberto Quiroz,L,193,ECU,28.873,293,171,GB61,2,,Viktor Galovic,R,193,CRO,30.303,284,180,6-3 7-5,3,Q2,87,5,1,59,41,33,11,11,3,4,2,2,76,43,28,14,10,9,12
2021-499,Delray Beach,Hard,28,250,O,20210107,10,KB14,,,Kevin King,L,191,USA,29.859,304,154,O482,3,,Gonzalo Oliveira,L,185,VEN,25.889,289,176,6-3 6-3,3,Q2,59,3,1,49,38,31,6,9,2,2,2,4,52,31,23,9,9,3,6
2021-499,Delray Beach,Hard,28,250,O,20210107,11,HB05,,,Christian Harrison,R,180,USA,26.612,789,22,K0EQ,,,Zane Khan,R,185,USA,18.905,949,13,6-1 6-7(9) 7-6(4),3,Q2,169,9,5,113,69,46,22,15,8,11,3,6,136,86,48,21,16,7,13
2021-499,Delray Beach,Hard,28,250,O,20210107,12,Y124,,,Donald Young,L,183,USA,31.461,327,135,KE64,,,Stefan Kozlov,R,183,USA,22.932,374,110,4-6 6-4 6-4,3,Q2,146,1,10,112,65,40,23,15,8,13,1,6,86,57,39,10,15,5,11
2021-9426,Antalya,Hard,32,250,O,20210107,1,TD49,,,Mert Naci Turker,,,,22.396,,,KD70,1,,Pedja Krstin,R,183,SRB,26.346,265,207,6-2 6-1,3,Q1,55,7,1,47,25,19,14,8,5,6,1,1,42,23,10,6,7,3,8
2021-9426,Antalya,Hard,32,250,O,20210107,2,K09F,,,Pavel Kotov,R,191,RUS,22.138,269,205,A09R,,,Umut Akkoyun,,,TUR,20.496,2005,1,6-2 RET,3,Q1,36,1,0,21,13,10,6,4,0,0,2,2,25,18,9,3,4,3,5
2021-9426,Antalya,Hard,32,250,O,20210107,3,K834,3,,Blaz Kavcic,R,188,SLO,33.845,272,203,T0FL,,,Togan Tokac,R,,TUR,,,,6-2 6-2,3,Q1,64,3,2,42,30,24,5,8,0,1,2,8,54,35,19,4,8,2,7
2021-9426,Antalya,Hard,32,250,O,20210107,4,PH64,4,,Andrea Pellegrino,R,185,ITA,23.795,278,191,A0AN,,,Cengiz Aksu,R,183,TUR,22.442,903,15,3-6 6-2 6-0,3,Q1,82,4,1,62,40,28,15,11,1,2,2,3,65,43,28,8,12,3,8
2021-9426,Antalya,Hard,32,250,O,20210107,5,BC65,,,Matthias Bachinger,R,188,GER,33.769,279,189,O659,,,Vladyslav Orlov,R,188,UKR,25.645,350,123,6-1 7-5,3,Q1,76,6,1,51,36,32,7,10,3,4,1,1,63,44,25,9,9,6,10
2021-9426,Antalya,Hard,32,250,O,20210107,6,VA08,,,Andrea Vavassori,R,193,ITA,25.678,315,142,O340,6,,Roberto Ortega-Olmedo,R,168,ESP,29.692,291,173,7-5 6-1,3,Q1,67,5,5,58,37,30,9,10,1,2,0,1,49,30,18,7,9,0,4
2021-9426,Antalya,Hard,32,250,O,20210107,7,A0AB,,,Adrian Andreev,R,175,BUL,19.658,564,52,KI63,7,,Lukas Klein,R,193,SVK,22.798,296,167,6-3 7-6(7),3,Q1,103,0,4,75,56,37,7,10,4,7,6,2,90,57,35,14,11,8,13
2021-9426,Antalya,Hard,32,250,O,20210107,8,KC33,,,Dimitar Kuzmanov,R,183,BUL,27.447,298,166,BE67,,,Mirza Basic,R,188,BIH,29.492,329,134,6-3 6-1,3,Q1,72,7,1,53,32,26,9,8,4,4,3,0,49,28,16,10,8,1,5
2021-9426,Antalya,Hard,32,250,O,20210107,9,H808,,,Harri Heliovaara,R,188,FIN,31.595,636,37,MP13,9,,Mukund Sasikumar,R,185,IND,23.981,300,157,6-4 7-5,3,Q1,92,7,2,72,41,31,10,11,5,8,4,5,60,36,23,8,11,3,8
2021-9426,Antalya,Hard,32,250,O,20210107,10,MO55,10,,Lucas Miedler,R,183,AUT,24.548,306,153,LI39,,,Alexandar Lazarov,R,191,BUL,23.17,544,58,1-6 6-3 6-3,3,Q1,97,4,1,80,49,32,15,13,2,6,6,3,77,50,32,12,12,8,12
2021-9426,Antalya,Hard,32,250,O,20210107,11,V0B2,,,Michael Vrbensky,R,,CZE,21.035,311,148,SS25,,,Vitaliy Sachko,R,188,UKR,23.485,398,100,7-5 6-2,3,Q1,93,2,2,66,39,25,16,10,3,5,1,1,61,39,21,9,10,6,11
2021-9426,Antalya,Hard,32,250,O,20210107,12,MV14,,,Alex Molcan,L,178,SVK,23.102,313,145,G806,,,Andrey Golubev,R,180,KAZ,33.465,776,23,6-2 7-5,3,Q1,77,4,4,57,32,19,16,10,2,5,2,4,68,49,27,5,10,2,8
2021-9426,Antalya,Hard,32,250,O,20210107,13,K09F,,,Pavel Kotov,R,191,RUS,22.138,269,205,H808,,,Harri Heliovaara,R,188,FIN,31.595,636,37,6-2 6-2,3,Q2,62,0,1,40,28,24,9,8,2,2,0,2,57,37,19,9,8,8,12
2021-9426,Antalya,Hard,32,250,O,20210107,14,MV14,,,Alex Molcan,L,178,SVK,23.102,313,145,K834,3,,Blaz Kavcic,R,188,SLO,33.845,272,203,1-6 6-4 7-5,3,Q2,150,2,4,97,61,42,14,15,5,10,1,2,97,65,40,17,14,7,11
2021-9426,Antalya,Hard,32,250,O,20210107,15,KC33,,,Dimitar Kuzmanov,R,183,BUL,27.447,298,166,PH64,4,,Andrea Pellegrino,R,185,ITA,23.795,278,191,4-6 7-6(11) 7-5,3,Q2,204,4,2,111,71,38,21,17,3,12,7,3,136,81,40,26,17,10,19
2021-9426,Antalya,Hard,32,250,O,20210107,16,BC65,,,Matthias Bachinger,R,188,GER,33.769,279,189,MO55,10,,Lucas Miedler,R,183,AUT,24.548,306,153,6-4 6-1,3,Q2,67,4,0,50,28,21,12,9,0,2,0,0,48,30,17,5,8,4,9
2021-9426,Antalya,Hard,32,250,O,20210107,17,V0B2,,,Michael Vrbensky,R,,CZE,21.035,311,148,TD49,,,Mert Naci Turker,,,,22.396,,,6-4 6-3,3,Q2,82,0,2,50,23,12,15,9,3,7,4,3,68,45,22,7,10,5,12
2021-9426,Antalya,Hard,32,250,O,20210107,18,A0AB,,,Adrian Andreev,R,175,BUL,19.658,564,52,VA08,,,Andrea Vavassori,R,193,ITA,25.678,315,142,6-4 7-6(5),3,Q2,111,0,2,77,50,34,11,11,2,5,4,3,75,41,30,12,11,8,12
2021-580,Australian Open,Hard,128,G,O,20210208,1,BK24,1,,Gregoire Barrere,R,183,FRA,26.979,111,655,KH56,,,Zdenek Kolar,R,183,CZE,24.334,231,257,7-6(5) 6-3,3,Q1,96,5,3,70,51,36,12,10,4,5,2,1,70,52,34,9,11,2,5
2021-580,Australian Open,Hard,128,G,O,20210208,2,DA31,,,Hugo Dellien,R,180,BOL,27.65,112,646,TE30,,,Alejandro Tabilo,L,188,CHI,23.688,167,397,6-1 6-0,3,Q1,68,3,1,39,32,23,4,6,5,5,1,2,52,25,11,8,7,8,14
2021-580,Australian Open,Hard,128,G,O,20210208,3,KC56,,,Aslan Karatsev,R,185,RUS,27.431,114,642,N0AE,,,Brandon Nakashima,R,188,USA,19.518,133,508,6-2 6-7(4) 6-2,3,Q1,138,10,1,79,49,37,22,14,0,1,5,1,94,63,42,16,14,5,10
2021-580,Australian Open,Hard,128,G,O,20210208,4,KB09,4,,Denis Kudla,R,180,USA,28.479,116,608,BT68,,,Elliot Benchetrit,R,193,MAR,22.355,227,260,6-4 6-3,3,Q1,97,8,1,51,30,21,16,9,0,1,6,0,75,36,24,15,10,7,11
