tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-339,Brisbane,Hard,32,250,O,20260104,1,A0FC,1,,Matteo Arnaldi,R,185,ITA,24.865,61,873,G09O,,,Hugo Gaston,L,173,FRA,25.273,96,653,6-1 5-7 7-6(5),3,Q1,152,10,5,119,69,49,21,16,10,14,4,1,100,65,44,13,15,8,13
2026-339,Brisbane,Hard,32,250,O,20260104,2,MQ75,,,Kamil Majchrzak,R,183,POL,29.977,62,861,H0K0,,,Cruz Hewitt,R,185,AUS,17.065,735,41,6-4 7-5,3,Q1,83,7,6,63,35,25,14,11,2,5,3,1,67,48,27,9,11,8,13
2026-339,Brisbane,Hard,32,250,O,20260104,3,A0GC,3,,Terence Atmane,L,193,FRA,23.986,63,855,H997,,,Yannick Hanfmann,R,193,GER,34.144,104,623,6-4 7-6(3),3,Q1,94,10,0,63,38,30,18,11,1,2,10,1,61,44,35,7,11,3,5
2026-339,Brisbane,Hard,32,250,O,20260104,4,C0H0,4,,Arthur Cazaux,R,183,FRA,23.368,64,848,L0IL,,,Martin Landaluce,R,193,ESP,19.989,135,479,6-3 6-2,3,Q1,83,9,1,46,36,30,7,9,0,0,3,6,65,38,23,11,8,5,8
2026-339,Brisbane,Hard,32,250,O,20260104,5,Q02L,5,,Ethan Quinn,R,191,USA,21.815,70,789,BM95,,,Benjamin Bonzi,R,183,FRA,29.572,94,667,4-6 6-3 6-3,3,Q1,127,10,0,66,49,40,11,14,0,2,7,8,99,64,43,16,14,10,14
2026-339,Brisbane,Hard,32,250,O,20260104,6,S0IA,,,Dane Sweeny,R,170,AUS,24.893,182,272,F0BY,6,,Jacob Fearnley,R,183,GBR,24.474,71,777,6-1 7-6(4),3,Q1,102,3,1,73,38,25,21,10,3,5,7,6,65,46,27,7,9,3,7
2026-339,Brisbane,Hard,32,250,O,20260104,7,CD85,,,Pablo Carreno Busta,R,188,ESP,34.483,93,668,B0GG,7,,Mattia Bellucci,L,175,ITA,24.594,76,758,6-4 2-6 7-6(3),3,Q1,143,8,2,89,54,41,20,15,3,6,13,3,91,59,47,15,15,3,5
2026-339,Brisbane,Hard,32,250,O,20260104,8,H0BH,,,Rinky Hijikata,R,178,AUS,24.862,113,546,M0JZ,8,,Filip Misolic,R,180,AUT,24.408,80,724,6-3 6-3,3,Q1,93,11,3,65,41,32,9,9,6,7,5,2,76,45,25,14,9,7,11
2026-339,Brisbane,Hard,32,250,O,20260104,9,C0JP,,,Raphael Collignon,R,191,BEL,23.975,85,704,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.098,97,652,7-5 6-4,3,Q1,90,12,6,70,41,31,13,11,2,4,3,0,60,31,20,16,11,5,9
2026-339,Brisbane,Hard,32,250,O,20260104,10,D994,,,James Duckworth,R,183,AUS,33.955,87,694,S0N0,,,Tristan Schoolkate,R,183,AUS,24.854,100,641,6-3 6-2,3,Q1,71,5,2,47,19,17,19,9,0,0,9,5,50,26,20,7,8,1,4
