tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-339,Brisbane,Hard,28,250,O,20181231,1,E865,,,Christopher Eubanks,R,201,USA,22.656,170,307,KA98,1,,Bradley Klahn,L,183,USA,28.364,76,699,3-6 6-4 7-6(6),3,Q1,109,11,4,95,61,46,19,16,5,7,7,4,84,59,45,15,15,0,1
2019-339,Brisbane,Hard,28,250,O,20181231,2,DA81,,,Taro Daniel,R,191,JPN,25.925,77,691,SJ55,,,John-Patrick Smith,L,188,AUS,29.933,193,264,3-6 6-4 6-4,3,Q1,120,3,4,102,64,48,17,15,4,6,5,2,78,53,40,13,14,5,7
2019-339,Brisbane,Hard,28,250,O,20181231,3,GD64,3,,Cristian Garin,R,185,CHI,22.587,84,650,O483,,,Christopher O'Connell,R,183,AUS,24.578,,,6-4 6-4,3,Q1,82,8,3,75,48,37,12,10,7,7,12,1,55,33,28,9,10,2,4
2019-339,Brisbane,Hard,28,250,O,20181231,4,PG94,,,Marc Polmans,R,188,AUS,21.665,166,318,O522,4,,Reilly Opelka,R,211,USA,21.342,99,590,6-3 6-7(1) 7-6(3),3,Q1,158,2,6,110,65,45,29,17,4,6,20,5,112,65,49,23,16,4,7
2019-339,Brisbane,Hard,28,250,O,20181231,5,HH26,,,Ugo Humbert,L,188,FRA,20.515,102,572,EA27,,,Blake Ellis,R,191,AUS,19.984,352,59,6-4 6-3,3,Q1,66,7,3,53,33,31,10,10,0,0,9,3,56,37,25,11,9,6,8
2019-339,Brisbane,Hard,28,250,O,20181231,6,KD46,,,Thanasi Kokkinakis,R,193,AUS,22.724,146,367,PB22,6,,Peter Polansky,R,183,CAN,30.543,119,482,6-3 6-4,3,Q1,79,8,0,56,36,29,13,10,1,1,4,4,63,44,31,7,9,5,7
2019-339,Brisbane,Hard,28,250,O,20181231,7,KI95,,,Miomir Kecmanovic,R,183,SRB,19.335,131,433,BH87,,,Maverick Banes,R,,AUS,26.724,297,125,6-2 6-0,3,Q1,55,3,2,53,34,25,10,7,5,5,3,2,44,21,12,7,7,3,8
2019-339,Brisbane,Hard,28,250,O,20181231,8,U134,,,Yasutaka Uchiyama,R,183,JPN,26.404,185,275,F811,8,,Bjorn Fratangelo,R,183,USA,25.451,136,421,7-6(5) 6-4,3,Q1,81,8,1,63,44,34,10,11,2,4,10,2,65,37,28,14,11,5,8
2019-339,Brisbane,Hard,28,250,O,20181231,9,KI95,,,Miomir Kecmanovic,R,183,SRB,19.335,131,433,DA81,,,Taro Daniel,R,191,JPN,25.925,77,691,7-5 6-7(9) 6-3,3,Q2,127,13,4,102,64,52,25,17,2,3,5,3,96,55,43,22,16,0,3
2019-339,Brisbane,Hard,28,250,O,20181231,10,KD46,,,Thanasi Kokkinakis,R,193,AUS,22.724,146,367,GD64,3,,Cristian Garin,R,185,CHI,22.587,84,650,6-2 6-4,3,Q2,74,12,1,48,31,28,10,9,2,2,5,6,59,33,22,11,9,1,4
2019-339,Brisbane,Hard,28,250,O,20181231,11,HH26,,,Ugo Humbert,L,188,FRA,20.515,102,572,E865,,,Christopher Eubanks,R,201,USA,22.656,170,307,6-2 6-3,3,Q2,56,6,1,41,30,28,8,9,0,0,6,4,48,23,15,12,8,2,5
2019-339,Brisbane,Hard,28,250,O,20181231,12,U134,,,Yasutaka Uchiyama,R,183,JPN,26.404,185,275,PG94,,,Marc Polmans,R,188,AUS,21.665,166,318,6-2 6-2,3,Q2,64,16,1,43,29,26,9,8,3,3,0,3,51,28,18,8,8,5,9
2019-451,Doha,Hard,32,250,O,20181231,1,MN13,,,Maximilian Marterer,L,188,GER,23.546,74,706,A622,,,Andrea Arnaboldi,L,180,ITA,31.012,176,297,3-6 6-2 6-3,3,Q1,100,12,0,67,49,39,11,13,1,3,1,2,86,46,29,22,13,6,10
2019-451,Doha,Hard,32,250,O,20181231,2,BE67,2,,Mirza Basic,R,188,BIH,27.472,87,636,BC65,,,Matthias Bachinger,R,188,GER,31.748,130,440,6-3 6-3,3,Q1,69,1,1,51,29,21,14,9,0,1,5,3,64,37,22,12,9,8,12
2019-451,Doha,Hard,32,250,O,20181231,3,G476,,,Guillermo Garcia-Lopez,R,185,ESP,35.576,105,543,W503,,,James Ward,R,188,GBR,31.89,186,273,7-6(6) 6-2,3,Q1,112,5,3,64,36,30,13,10,3,4,3,1,85,49,34,15,10,8,11
2019-451,Doha,Hard,32,250,O,20181231,4,L503,,,Paolo Lorenzi,R,183,ITA,37.043,109,525,AC23,,,Jabor Al-Mutawa,,,QAT,24.597,,,6-1 6-0,3,Q1,60,6,3,41,18,15,14,7,0,0,1,5,52,35,16,6,6,5,10
2019-451,Doha,Hard,32,250,O,20181231,5,BE90,,,Ricardas Berankis,R,175,LTU,28.528,116,507,DB59,,,Dennis Novak,R,183,AUT,25.342,140,387,6-4 6-3,3,Q1,93,3,1,58,34,19,18,9,3,5,2,5,88,53,29,15,10,5,10
2019-451,Doha,Hard,32,250,O,20181231,6,TA29,7,,Marco Trungelliti,R,178,ARG,28.914,123,463,Z367,,,Mousa Shanan Zayed,,,QAT,24.813,,,6-0 6-1,3,Q1,41,3,1,38,30,23,6,7,0,0,0,2,35,26,9,2,6,2,7
2019-451,Doha,Hard,32,250,O,20181231,7,B837,8,,Marcos Baghdatis,R,178,CYP,33.539,124,460,R685,,,Lukas Rosol,R,193,CZE,33.437,142,383,6-0 7-6(3),3,Q1,86,9,3,69,34,29,19,9,3,3,3,3,63,39,25,12,9,3,6
2019-451,Doha,Hard,32,250,O,20181231,8,SC77,,,Sergiy Stakhovsky,R,193,UKR,32.983,134,424,MP83,,,Gian Marco Moroni,R,185,ITA,20.879,226,222,7-6(5) 7-5,3,Q1,96,3,2,80,55,43,12,12,2,3,2,5,71,41,32,17,12,4,6
