tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2022-8998,Adelaide 1,Hard,32,250,O,20220103,1,O449,1,,Oscar Otte,R,193,GER,28.468,101,747,R09X,,,Jurij Rodionov,L,191,AUT,22.637,136,510,6-4 7-6(5),3,Q1,98,7,4,69,40,32,18,11,2,3,1,4,74,39,27,21,11,4,6
2022-8998,Adelaide 1,Hard,32,250,O,20220103,2,R0DG,,,Holger Rune,R,188,DEN,18.683,103,740,RB56,,,Ramkumar Ramanathan,R,188,IND,27.154,184,360,6-4 7-6(7),3,Q1,86,6,3,72,44,37,17,11,2,2,10,5,70,42,34,14,11,1,2
2022-8998,Adelaide 1,Hard,32,250,O,20220103,3,GC89,,,Egor Gerasimov,R,196,BLR,29.144,113,665,L0GZ,,,Henry Lamchinniah,,,AUS,16.928,,,6-0 6-1,3,Q1,45,2,2,37,22,19,10,7,2,2,1,4,40,20,10,5,6,5,10
2022-8998,Adelaide 1,Hard,32,250,O,20220103,4,GE33,4,,Daniel Elahi Galan,R,191,COL,25.544,120,618,E690,,,Matthew Ebden,R,188,AUS,34.105,237,266,5-7 7-5 6-3,3,Q1,146,18,1,118,70,53,21,16,8,11,8,6,108,74,52,13,17,8,13
2022-8998,Adelaide 1,Hard,32,250,O,20220103,5,A829,5,,Radu Albot,R,175,MDA,32.145,123,587,SJ55,,,John-Patrick Smith,L,188,AUS,32.942,394,106,6-7(6) 6-2 6-4,3,Q1,130,8,2,99,65,47,20,15,4,5,7,2,97,68,45,16,15,6,10
2022-8998,Adelaide 1,Hard,32,250,O,20220103,6,DA81,,,Taro Daniel,R,191,JPN,28.934,125,584,W0C4,,,Edward Winter,R,178,AUS,17.3,1768,1,6-4 6-4,3,Q1,81,6,3,57,37,30,13,10,3,3,8,2,62,39,25,15,10,2,4
2022-8998,Adelaide 1,Hard,32,250,O,20220103,7,C0AU,,,Francisco Cerundolo,R,185,ARG,23.392,127,582,H808,,,Harri Heliovaara,R,188,FIN,32.583,1016,11,6-4 6-2,3,Q1,68,3,3,55,37,29,9,9,1,2,3,2,53,32,19,9,9,4,8
2022-8998,Adelaide 1,Hard,32,250,O,20220103,8,V836,8,,Juan Pablo Varillas,R,185,PER,26.245,129,567,J620,,,Maxime Janvier,R,196,FRA,25.21,223,290,6-4 7-6(6),3,Q1,91,4,1,56,33,32,17,11,0,0,3,3,71,48,36,13,11,3,4
2022-8998,Adelaide 1,Hard,32,250,O,20220103,9,DA81,,,Taro Daniel,R,191,JPN,28.934,125,584,O449,1,,Oscar Otte,R,193,GER,28.468,101,747,7-6(5) 6-2,3,Q2,92,12,4,78,45,37,13,10,3,4,5,5,61,37,29,9,10,1,4
2022-8998,Adelaide 1,Hard,32,250,O,20220103,10,R0DG,,,Holger Rune,R,188,DEN,18.683,103,740,V836,8,,Juan Pablo Varillas,R,185,PER,26.245,129,567,6-2 6-3,3,Q2,78,4,3,46,24,20,17,9,0,0,2,1,50,27,17,12,8,3,6
2022-8998,Adelaide 1,Hard,32,250,O,20220103,11,GC89,,,Egor Gerasimov,R,196,BLR,29.144,113,665,A829,5,,Radu Albot,R,175,MDA,32.145,123,587,6-3 0-6 6-2,3,Q2,109,7,2,89,53,37,18,12,7,10,2,4,68,44,31,10,11,1,4
2022-8998,Adelaide 1,Hard,32,250,O,20220103,12,C0AU,,,Francisco Cerundolo,R,185,ARG,23.392,127,582,GE33,4,,Daniel Elahi Galan,R,191,COL,25.544,120,618,7-6(3) 7-6(5),3,Q2,127,2,5,89,63,42,11,12,2,5,0,2,100,64,39,16,12,4,7
2022-9665,Melbourne,Hard,32,250,O,20220104,1,L949,,,Henri Laaksonen,R,185,SUI,29.763,98,765,KC04,,,Jozef Kovalik,R,183,SVK,29.166,149,452,6-4 6-2,3,Q1,69,4,0,52,39,28,8,8,1,2,1,3,38,32,18,8,8,2,6
2022-9665,Melbourne,Hard,32,250,O,20220104,2,B0BI,,,Sebastian Baez,R,170,ARG,21.018,99,762,PG94,,,Marc Polmans,R,188,AUS,24.676,196,343,7-5 6-2,3,Q1,87,1,2,65,48,33,8,10,4,6,2,3,66,50,27,7,10,7,12
2022-9665,Melbourne,Hard,32,250,O,20220104,3,SA93,,,Andreas Seppi,R,191,ITA,37.87,102,744,Z419,,,Bernabe Zapata Miralles,R,183,ESP,24.977,124,586,6-4 7-6(3),3,Q1,97,5,1,73,44,32,13,11,5,9,4,1,70,43,26,11,11,0,5
2022-9665,Melbourne,Hard,32,250,O,20220104,4,BE90,,,Ricardas Berankis,R,175,LTU,31.54,104,739,EA24,,,Tomas Martin Etcheverry,R,196,ARG,22.467,130,556,6-4 6-2,3,Q1,84,1,1,62,34,24,17,9,4,5,3,5,51,32,19,9,9,2,6
2022-9665,Melbourne,Hard,32,250,O,20220104,5,H0BH,,,Rinky Hijikata,R,178,AUS,20.862,375,113,KB09,7,,Denis Kudla,R,180,USA,29.383,105,733,6-1 7-5,3,Q1,82,4,2,63,36,25,17,10,2,3,1,1,53,35,18,9,9,3,7
2022-9665,Melbourne,Hard,32,250,O,20220104,6,C0BC,,,Maxime Cressy,R,201,USA,24.66,112,683,SH90,,,Joao Sousa,R,185,POR,32.767,140,500,6-2 6-3,3,Q1,74,11,10,66,41,30,12,9,8,9,3,6,41,24,14,5,8,1,5
2022-9665,Melbourne,Hard,32,250,O,20220104,7,CH05,,,Altug Celikbilek,R,183,TUR,25.325,162,428,GB93,,,Norbert Gombos,R,193,SVK,31.395,118,624,6-4 6-4,3,Q1,81,5,2,63,35,23,16,10,3,5,3,6,71,46,30,8,10,5,9
2022-9665,Melbourne,Hard,32,250,O,20220104,8,VA08,,,Andrea Vavassori,R,193,ITA,26.669,267,221,PF39,,,Lucas Pouille,R,185,FRA,27.863,155,440,6-7(3) 7-6(5) 6-3,3,Q1,146,11,7,112,62,49,29,16,7,7,5,8,112,53,41,33,17,5,7
2022-9665,Melbourne,Hard,32,250,O,20220104,9,H0BH,,,Rinky Hijikata,R,178,AUS,20.862,375,113,L949,,,Henri Laaksonen,R,185,SUI,29.763,98,765,4-6 7-6(8) 6-4,3,Q2,151,5,0,106,61,43,24,16,2,6,13,0,110,67,47,22,16,5,9
2022-9665,Melbourne,Hard,32,250,O,20220104,10,SA93,,,Andreas Seppi,R,191,ITA,37.87,102,744,B0BI,,,Sebastian Baez,R,170,ARG,21.018,99,762,7-5 7-6(1),3,Q2,103,8,0,79,40,27,22,12,3,6,4,1,76,51,30,13,12,3,7
2022-9665,Melbourne,Hard,32,250,O,20220104,11,BE90,,,Ricardas Berankis,R,175,LTU,31.54,104,739,CH05,,,Altug Celikbilek,R,183,TUR,25.325,162,428,5-7 6-2 6-1,3,Q2,118,6,2,93,48,38,22,13,9,11,3,2,91,49,32,19,14,6,12
2022-9665,Melbourne,Hard,32,250,O,20220104,12,C0BC,,,Maxime Cressy,R,201,USA,24.66,112,683,VA08,,,Andrea Vavassori,R,193,ITA,26.669,267,221,7-6(6) 7-6(10),3,Q2,117,9,4,86,60,47,13,12,2,4,6,6,89,52,38,20,12,3,5
2022-9663,Sydney,Hard,32,250,O,20220110,1,TA12,,,Stefano Travaglia,R,185,ITA,30.037,86,807,RH69,,,Matthew Romios,R,185,AUS,22.787,747,30,7-5 6-1,3,Q1,86,4,2,69,37,26,22,10,5,5,1,5,58,28,16,16,9,0,3
