tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-339,Brisbane,Hard,32,250,O,20170101,1,DH58,,,Alex de Minaur,R,183,AUS,17.873,,,K926,1,,Mikhail Kukushkin,R,183,KAZ,29.018,,,6-4 7-6(7),3,Q1,99,8,1,63,31,25,19,11,0,2,0,2,68,32,19,23,11,2,5
2017-339,Brisbane,Hard,32,250,O,20170101,2,D646,,,Ivan Dodig,R,183,CRO,31.997,,,H940,2,,Ryan Harrison,R,185,USA,24.654,,,6-4 4-6 6-4,3,Q1,252,12,5,89,48,35,25,15,6,8,7,2,91,57,41,17,15,1,4
2017-339,Brisbane,Hard,32,250,O,20170101,3,N732,,,Yoshihito Nishioka,L,170,JPN,21.265,,,SC47,,,Go Soeda,R,178,JPN,32.323,,,6-4 0-6 6-2,3,Q1,106,2,2,93,55,36,18,12,6,9,2,0,64,37,26,16,12,2,5
2017-339,Brisbane,Hard,32,250,O,20170101,4,DC58,,,Jared Donaldson,R,188,USA,20.23,,,R548,,,Rajeev Ram,R,193,USA,32.791,,,6-2 6-4,3,Q1,59,9,3,46,24,22,15,9,1,1,2,0,50,33,21,8,9,2,5
2017-339,Brisbane,Hard,32,250,O,20170101,5,TD51,5,,Frances Tiafoe,R,188,USA,18.949,,,W630,,,Andrew Whittington,R,188,AUS,23.392,,,7-6(5) 6-3,3,Q1,87,2,5,75,42,34,16,11,5,7,5,2,55,38,26,9,10,0,3
2017-339,Brisbane,Hard,32,250,O,20170101,6,SF62,,,Tim Smyczek,R,175,USA,29.008,,,F811,6,,Bjorn Fratangelo,R,183,USA,23.455,,,4-6 6-2 6-3,3,Q1,93,16,3,80,49,41,16,14,7,9,6,5,74,40,30,15,13,4,8
2017-339,Brisbane,Hard,32,250,O,20170101,7,SJ55,,,John-Patrick Smith,L,188,AUS,27.937,,,KE64,7,,Stefan Kozlov,R,183,USA,18.916,,,6-2 6-3,3,Q1,77,4,2,65,44,30,16,9,4,4,0,1,48,26,16,11,8,3,6
2017-339,Brisbane,Hard,32,250,O,20170101,8,E873,,,Ernesto Escobedo,R,185,MEX,20.496,,,K839,8,,Tobias Kamke,R,178,GER,30.617,,,6-3 6-4,3,Q1,77,5,1,61,36,28,14,10,3,4,0,3,61,36,24,11,9,6,9
2017-339,Brisbane,Hard,32,250,O,20170101,9,N732,,,Yoshihito Nishioka,L,170,JPN,21.265,,,SF62,,,Tim Smyczek,R,175,USA,29.008,,,7-5 6-4,3,Q2,89,0,1,87,47,30,24,11,9,10,2,2,54,25,17,19,11,1,4
2017-339,Brisbane,Hard,32,250,O,20170101,10,DC58,,,Jared Donaldson,R,188,USA,20.23,,,SJ55,,,John-Patrick Smith,L,188,AUS,27.937,,,6-2 4-6 7-6(2),3,Q2,134,6,5,99,54,44,19,15,5,8,5,3,109,66,47,16,15,8,12
