tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2015-339,Brisbane,Hard,28,250,O,20150104,1,K839,1,,Tobias Kamke,R,178,GER,28.624,,,MM79,,,Blake Mott,R,180,AUS,18.705,,,4-6 7-5 6-2,3,Q1,131,2,3,93,57,44,14,15,3,7,6,3,94,60,39,12,15,4,10
2015-339,Brisbane,Hard,28,250,O,20150104,2,T840,2,,Viktor Troicki,R,193,SRB,28.898,,,BH87,,,Maverick Banes,R,,AUS,22.735,,,6-3 7-6(4),3,Q1,76,18,4,65,40,34,14,11,4,5,2,0,60,32,22,17,10,0,2
2015-339,Brisbane,Hard,28,250,O,20150104,3,K771,3,,Marsel Ilhan,R,191,TUR,27.567,,,KC04,,,Jozef Kovalik,R,183,SVK,22.166,,,4-6 7-5 6-2,3,Q1,125,8,2,93,66,46,11,15,9,12,5,7,105,49,28,30,15,11,16
2015-339,Brisbane,Hard,28,250,O,20150104,4,H996,4,,Pierre-Hugues Herbert,R,188,FRA,23.8,,,Z355,,,Alexander Zverev,R,198,GER,17.708,,,7-6(2) 6-4,3,Q1,101,3,1,74,30,22,28,11,4,6,3,3,72,42,26,18,11,3,6
2015-339,Brisbane,Hard,28,250,O,20150104,5,SF62,5,,Tim Smyczek,R,175,USA,27.014,,,G569,,,Robby Ginepri,R,183,USA,32.244,,,6-1 6-1,3,Q1,49,7,1,41,26,22,8,7,1,1,2,2,48,30,14,6,7,3,8
2015-339,Brisbane,Hard,28,250,O,20150104,6,KB09,,,Denis Kudla,R,180,USA,22.382,,,PC29,,,Dane Propoggia,,,AUS,24.698,,,6-2 6-4,3,Q1,62,4,0,45,28,23,13,9,0,0,6,2,61,43,27,8,9,2,5
2015-339,Brisbane,Hard,28,250,O,20150104,7,GB93,7,,Norbert Gombos,R,193,SVK,24.394,,,LA93,,,Enrique Lopez Perez,R,180,ESP,23.589,,,6-7(5) 6-2 6-4,3,Q1,129,4,1,98,67,50,21,15,2,2,9,7,112,76,50,20,15,13,16
2015-339,Brisbane,Hard,28,250,O,20150104,8,U134,,,Yasutaka Uchiyama,R,183,JPN,22.415,,,PF39,8,,Lucas Pouille,R,185,FRA,20.862,,,6-3 6-2,3,Q1,56,5,2,47,30,24,14,9,0,0,5,4,53,31,20,10,8,6,9
2015-339,Brisbane,Hard,28,250,O,20150104,9,CA99,,,Marius Copil,R,191,ROU,24.216,,,A622,,,Andrea Arnaboldi,L,180,ITA,27.023,,,1-6 6-3 6-2,3,Q1,91,9,1,69,46,33,10,12,4,7,3,5,83,48,30,18,12,5,9
2015-339,Brisbane,Hard,28,250,O,20150104,10,D499,,,Frank Dancevic,R,185,CAN,30.272,,,BJ05,,,Harry Bourchier,R,185,AUS,18.946,,,7-6(3) 4-6 6-1,3,Q1,103,12,2,91,54,45,20,15,4,6,10,3,101,69,44,19,14,13,16
2015-339,Brisbane,Hard,28,250,O,20150104,11,DA81,,,Taro Daniel,R,191,JPN,21.936,,,V564,,,Antonio Veic,R,180,CRO,26.877,,,6-4 6-3,3,Q1,73,4,2,60,32,23,19,10,2,3,4,2,56,33,22,11,9,7,10
2015-339,Brisbane,Hard,28,250,O,20150104,12,K540,,,Lukasz Kubot,R,191,POL,32.638,,,K737,,,Alex Kuznetsov,R,183,USA,27.912,,,6-3 6-2,3,Q1,77,7,3,66,41,30,15,9,4,4,4,1,49,26,22,8,8,2,5
2015-339,Brisbane,Hard,28,250,O,20150104,13,MF36,,,Miloslav Mecir,R,196,SVK,26.957,,,P701,,,Michal Przysiezny,R,185,POL,30.883,,,3-6 6-3 6-4,3,Q1,102,10,4,85,58,43,17,14,1,2,7,2,80,43,32,24,14,2,4
2015-339,Brisbane,Hard,28,250,O,20150104,14,MA38,,,Jan Mertl,R,191,CZE,33.002,,,MJ01,,,Roberto Marcora,R,193,ITA,25.347,,,7-6(3) 6-7(2) 7-5,3,Q1,148,14,3,118,70,53,28,18,8,10,11,5,113,76,57,16,18,4,7
2015-339,Brisbane,Hard,28,250,O,20150104,15,R977,,,Matt Reid,R,183,AUS,24.468,,,PB37,,,Hans Podlipnik-Castillo,R,183,CHI,26.987,,,6-4 7-6(5),3,Q1,95,8,4,66,46,39,10,11,0,1,10,1,74,40,29,19,11,2,4
2015-339,Brisbane,Hard,28,250,O,20150104,16,W522,,,Rhyne Williams,R,185,USA,23.789,,,H442,,,Jan Hernych,R,188,CZE,35.496,,,7-6(5) 6-3,3,Q1,93,6,1,80,50,39,15,11,4,5,8,2,55,34,27,11,10,1,3
2015-339,Brisbane,Hard,28,250,O,20150104,17,D499,,,Frank Dancevic,R,185,CAN,30.272,,,K839,1,,Tobias Kamke,R,178,GER,28.624,,,7-5 6-3,3,Q2,75,5,1,64,41,34,9,11,1,2,2,1,58,44,29,6,10,2,5
2015-339,Brisbane,Hard,28,250,O,20150104,18,T840,2,,Viktor Troicki,R,193,SRB,28.898,,,MF36,,,Miloslav Mecir,R,196,SVK,26.957,,,7-6(5) 2-6 7-6(11),3,Q2,141,23,1,102,72,59,16,16,1,4,8,3,138,95,72,20,16,13,14
2015-339,Brisbane,Hard,28,250,O,20150104,19,K771,3,,Marsel Ilhan,R,191,TUR,27.567,,,MA38,,,Jan Mertl,R,191,CZE,33.002,,,6-4 3-6 7-5,3,Q2,104,3,2,82,59,46,14,15,2,4,12,5,90,59,44,15,16,3,6
2015-339,Brisbane,Hard,28,250,O,20150104,20,W522,,,Rhyne Williams,R,185,USA,23.789,,,H996,4,,Pierre-Hugues Herbert,R,188,FRA,23.8,,,6-3 6-1,3,Q2,60,7,3,44,26,24,10,8,2,2,6,4,46,21,13,11,8,2,6
2015-339,Brisbane,Hard,28,250,O,20150104,21,CA99,,,Marius Copil,R,191,ROU,24.216,,,SF62,5,,Tim Smyczek,R,175,USA,27.014,,,6-3 7-6(3),3,Q2,88,6,3,76,41,30,19,11,6,8,3,0,61,50,30,7,10,3,6
2015-339,Brisbane,Hard,28,250,O,20150104,22,KB09,,,Denis Kudla,R,180,USA,22.382,,,DA81,,,Taro Daniel,R,191,JPN,21.936,,,3-6 7-5 6-3,3,Q2,111,7,7,87,44,36,22,15,2,4,6,3,79,51,39,15,15,1,4
2015-339,Brisbane,Hard,28,250,O,20150104,23,R977,,,Matt Reid,R,183,AUS,24.468,,,GB93,7,,Norbert Gombos,R,193,SVK,24.394,,,3-6 7-6(11) 7-6(3),3,Q2,132,23,4,115,79,63,19,16,6,7,19,5,113,70,60,22,17,2,2
2015-339,Brisbane,Hard,28,250,O,20150104,24,K540,,,Lukasz Kubot,R,191,POL,32.638,,,U134,,,Yasutaka Uchiyama,R,183,JPN,22.415,,,6-4 6-7(4) 6-2,3,Q2,143,9,1,92,60,43,24,15,5,5,15,1,109,58,45,25,15,6,9
2015-339,Brisbane,Hard,28,250,O,20150104,25,KB09,,,Denis Kudla,R,180,USA,22.382,,,T840,2,,Viktor Troicki,R,193,SRB,28.898,,,6-4 6-2,3,Q3,66,5,1,64,33,25,19,9,4,4,3,2,51,31,20,12,9,4,7
2015-339,Brisbane,Hard,28,250,O,20150104,26,CA99,,,Marius Copil,R,191,ROU,24.216,,,K771,3,,Marsel Ilhan,R,191,TUR,27.567,,,6-2 6-3,3,Q3,68,12,3,60,37,28,13,9,5,5,2,1,54,37,21,8,8,2,5
2015-339,Brisbane,Hard,28,250,O,20150104,27,K540,,,Lukasz Kubot,R,191,POL,32.638,,,D499,,,Frank Dancevic,R,185,CAN,30.272,,,6-3 6-2,3,Q3,69,16,3,66,42,35,11,9,7,7,6,2,51,35,21,8,8,3,6
2015-339,Brisbane,Hard,28,250,O,20150104,28,W522,,,Rhyne Williams,R,185,USA,23.789,,,R977,,,Matt Reid,R,183,AUS,24.468,,,6-3 6-4,3,Q3,74,12,2,55,36,28,11,10,1,2,6,3,50,25,19,12,9,3,6
2015-451,Doha,Hard,32,250,O,20150105,1,KB05,1,,Filip Krajinovic,R,185,SRB,22.856,93,558,N679,,,Stefano Napolitano,R,196,ITA,19.737,467,80,6-4 6-2,3,Q1,63,4,2,53,28,22,13,9,0,1,2,2,55,33,20,9,9,3,7
2015-451,Doha,Hard,32,250,O,20150105,2,K834,,,Blaz Kavcic,R,188,SLO,27.838,99,545,E831,,,Kyle Edmund,R,188,GBR,19.992,191,260,6-4 6-4,3,Q1,101,7,10,79,57,39,6,10,0,3,2,2,72,48,26,9,10,3,8
2015-451,Doha,Hard,32,250,O,20150105,3,H704,,,Jesse Huta Galung,R,,NED,29.248,194,249,W503,3,,James Ward,R,188,GBR,27.904,101,539,7-6(4) 6-1,3,Q1,82,6,3,73,43,32,13,9,2,4,6,2,59,35,20,10,10,0,5
2015-451,Doha,Hard,32,250,O,20150105,4,BA86,4,,Andreas Beck,L,191,GER,28.914,114,493,D908,,,Philipp Davydenko,R,183,RUS,22.341,397,104,6-4 6-3,3,Q1,77,1,2,62,43,34,4,10,1,4,2,1,67,53,28,4,9,7,12
2015-451,Doha,Hard,32,250,O,20150105,5,D551,5,,Farrukh Dustov,R,193,UZB,28.624,118,460,AD00,,,Jassem Al Zeyara,,,QAT,17.073,,,6-0 6-0,3,Q1,30,4,1,27,17,16,8,6,0,0,0,0,31,24,5,2,6,2,8
2015-451,Doha,Hard,32,250,O,20150105,6,B678,,,Michael Berrer,L,193,GER,34.513,127,427,M915,,,Daniel Munoz de la Nava,L,175,ESP,32.934,205,236,4-6 6-4 6-4,3,Q1,128,11,2,95,68,48,14,15,9,12,2,3,99,52,38,22,15,9,13
2015-451,Doha,Hard,32,250,O,20150105,7,BG23,,,Nikoloz Basilashvili,R,185,GEO,22.867,171,293,E698,7,,Gastao Elias,R,180,POR,24.115,140,377,6-4 6-1,3,Q1,71,1,6,66,44,32,6,9,10,12,3,3,58,36,20,8,8,6,11
2015-451,Doha,Hard,32,250,O,20150105,8,R548,8,,Rajeev Ram,R,193,USA,30.801,137,381,KD70,,,Pedja Krstin,R,183,SRB,20.339,246,198,6-1 6-2,3,Q1,67,6,3,42,29,22,5,7,1,2,1,4,53,30,14,8,8,4,10
2015-451,Doha,Hard,32,250,O,20150105,9,BC65,,,Matthias Bachinger,R,188,GER,27.762,139,378,AC41,,,Ali Al-Saygh,R,,QAT,18.897,,,6-1 6-0,3,Q1,37,6,0,32,23,22,6,7,0,0,0,6,35,21,6,5,6,2,7
2015-451,Doha,Hard,32,250,O,20150105,10,BA57,,,Ilija Bozoljac,R,193,SRB,29.426,204,240,V494,,,Antal Van Der Duim,R,185,NED,27.305,269,184,7-6(5) 6-0,3,Q1,79,13,0,61,43,27,14,9,1,2,2,3,62,36,23,8,9,6,10
2015-451,Doha,Hard,32,250,O,20150105,11,CF01,,,Marco Cecchinato,R,185,ITA,22.264,157,324,Y195,,,Yahor Yatsyk,R,,BLR,22.415,1623,2,6-4 6-4,3,Q1,64,3,3,52,28,25,14,10,0,1,8,2,64,36,23,14,10,3,6
2015-451,Doha,Hard,32,250,O,20150105,12,CG33,,,Kimmer Coppejans,R,178,BEL,20.909,183,272,BE54,,,Ruben Bemelmans,L,183,BEL,26.976,172,293,7-6(4) 6-4,3,Q1,94,0,3,87,66,44,12,11,5,6,3,3,72,48,34,12,11,3,5
2015-451,Doha,Hard,32,250,O,20150105,13,D776,,,Thiemo de Bakker,R,193,NED,26.294,141,375,AA78,,,Mohamed Adnaoui,R,185,MAR,30.073,1513,3,6-4 6-0,3,Q1,60,7,1,39,27,23,9,8,0,0,3,10,68,31,22,12,8,7,11
2015-451,Doha,Hard,32,250,O,20150105,14,D752,,,Niels Desein,R,191,BEL,27.576,203,241,KC56,,,Aslan Karatsev,R,185,RUS,21.336,216,224,6-4 6-7(1) 6-4,3,Q1,134,4,5,97,53,37,23,16,0,3,11,3,98,58,38,23,16,1,6
2015-451,Doha,Hard,32,250,O,20150105,15,O305,,,Philipp Oswald,R,201,AUT,28.95,910,15,SR15,,,Abdullah Shannan Alharrasi,,,QAT,17.369,,,6-0 6-1,3,Q1,47,4,3,30,25,23,1,6,0,0,1,8,55,31,13,8,7,5,11
