tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2024-339,Brisbane,Hard,32,250,O,20231231,1,M0FH,,,Tomas Machac,R,183,CZE,23.214,78,722,EA27,,,Blake Ellis,R,191,AUS,24.983,359,137,7-6(2) 6-2,3,Q1,105,7,2,68,39,28,19,10,2,3,10,3,74,47,29,13,10,4,7
2024-339,Brisbane,Hard,32,250,O,20231231,2,BK24,2,,Gregoire Barrere,R,183,FRA,29.87,84,708,S0IA,,,Dane Sweeny,R,170,AUS,22.88,256,234,6-3 6-0,3,Q1,54,2,1,34,19,17,11,7,0,0,1,0,46,30,12,8,8,0,5
2024-339,Brisbane,Hard,32,250,O,20231231,3,GE33,3,,Daniel Elahi Galan,R,191,COL,27.535,93,676,KB54,,,Andrey Kuznetsov,R,183,RUS,32.854,1369,3,7-5 6-3,3,Q1,85,16,5,69,41,36,13,11,4,4,5,1,68,41,28,13,10,1,3
2024-339,Brisbane,Hard,32,250,O,20231231,4,M0QI,,,Alex Michelsen,R,193,USA,19.348,97,653,G983,,,Alessandro Giannessi,L,185,ITA,33.588,203,300,6-3 6-2,3,Q1,62,2,1,44,31,24,9,9,0,1,4,3,46,29,18,5,8,3,7
2024-339,Brisbane,Hard,32,250,O,20231231,5,TB69,,,Dominic Thiem,R,185,AUT,30.324,98,652,M0OQ,,,James McCabe,R,188,AUS,20.49,272,216,2-6 7-6(4) 6-4,3,Q1,173,8,3,101,71,50,17,15,6,9,10,3,102,69,47,18,15,6,8
2024-339,Brisbane,Hard,32,250,O,20231231,6,KI63,,,Lukas Klein,R,193,SVK,25.777,170,359,HB64,6,,Quentin Halys,R,191,FRA,27.179,100,640,6-4 7-6(1),3,Q1,115,4,1,77,54,41,14,11,5,5,9,1,59,38,32,11,11,1,2
2024-339,Brisbane,Hard,32,250,O,20231231,7,K0AZ,7,,Aleksandar Kovacevic,R,183,USA,25.339,110,604,GB53,,,Federico Gaio,R,178,ITA,31.822,197,307,7-6(5) 6-2,3,Q1,123,10,1,89,46,34,23,10,7,8,8,5,86,50,35,14,10,8,11
2024-339,Brisbane,Hard,32,250,O,20231231,8,SM37,8,,Diego Schwartzman,R,170,ARG,31.373,114,576,B0OT,,,Jacob Bradshaw,R,188,AUS,21.188,704,40,6-2 6-4,3,Q1,84,1,1,52,42,34,4,9,0,0,4,0,61,41,24,10,9,4,7
2024-339,Brisbane,Hard,32,250,O,20231231,9,D994,,,James Duckworth,R,183,AUS,31.943,116,573,S0TI,,,Philip Sekulic,R,191,AUS,20.32,277,210,7-6(5) 6-4,3,Q1,113,4,2,68,43,33,17,11,0,1,3,3,75,43,29,18,11,5,7
2024-339,Brisbane,Hard,32,250,O,20231231,10,TC01,,,Li Tu,R,183,AUS,27.595,225,280,C0DF,10,,Francisco Comesana,R,178,ARG,23.233,124,533,7-6(1) 5-7 7-6(3),3,Q1,172,3,1,142,93,61,28,18,13,15,12,2,99,67,55,18,18,2,3
2024-339,Brisbane,Hard,32,250,O,20231231,11,C0BC,11,,Maxime Cressy,R,201,USA,26.648,126,519,PH78,,,Ryan Peniston,L,180,GBR,28.14,179,345,6-4 6-4,3,Q1,136,6,12,75,41,31,15,10,6,7,1,4,52,30,23,11,10,0,3
2024-339,Brisbane,Hard,32,250,O,20231231,12,Z0A1,12,,Giulio Zeppieri,L,183,ITA,22.064,135,480,J553,,,Omar Jasika,L,183,AUS,26.62,343,148,7-5 6-3,3,Q1,93,9,1,72,46,34,13,11,3,4,2,1,72,53,30,11,10,7,10
2024-339,Brisbane,Hard,32,250,O,20231231,13,M0FH,,,Tomas Machac,R,183,CZE,23.214,78,722,K0AZ,7,,Aleksandar Kovacevic,R,183,USA,25.339,110,604,6-4 6-2,3,Q2,77,8,1,49,34,28,10,9,2,2,7,3,66,42,27,11,9,4,7
2024-339,Brisbane,Hard,32,250,O,20231231,14,D994,,,James Duckworth,R,183,AUS,31.943,116,573,BK24,2,,Gregoire Barrere,R,183,FRA,29.87,84,708,6-1 7-6(2),3,Q2,95,7,0,60,37,32,12,10,1,2,4,2,83,47,29,15,9,8,11
2024-339,Brisbane,Hard,32,250,O,20231231,15,TC01,,,Li Tu,R,183,AUS,27.595,225,280,GE33,3,,Daniel Elahi Galan,R,191,COL,27.535,93,676,6-3 7-6(5),3,Q2,98,11,4,78,50,39,14,11,8,9,6,3,70,46,30,14,10,2,4
2024-339,Brisbane,Hard,32,250,O,20231231,16,M0QI,,,Alex Michelsen,R,193,USA,19.348,97,653,SM37,8,,Diego Schwartzman,R,170,ARG,31.373,114,576,6-1 6-4,3,Q2,80,10,0,46,33,28,9,9,2,2,2,1,65,45,24,10,8,7,10
2024-339,Brisbane,Hard,32,250,O,20231231,17,TB69,,,Dominic Thiem,R,185,AUT,30.324,98,652,Z0A1,12,,Giulio Zeppieri,L,183,ITA,22.064,135,480,3-6 6-4 6-4,3,Q2,151,4,5,97,62,49,12,14,4,5,14,3,90,48,40,20,15,3,5
2024-339,Brisbane,Hard,32,250,O,20231231,18,KI63,,,Lukas Klein,R,193,SVK,25.777,170,359,C0BC,11,,Maxime Cressy,R,201,USA,26.648,126,519,4-6 7-6(8) 6-4,3,Q2,163,10,2,101,71,58,16,16,3,4,14,11,104,65,51,21,16,3,4
2024-336,Hong Kong,Hard,32,250,O,20240101,1,DA81,,,Taro Daniel,R,191,JPN,30.927,75,737,W0F3,,,Tsz Fu Wong,R,175,HKG,18.27,,,6-0 6-3,3,Q1,69,3,0,46,21,17,16,8,0,0,0,3,42,20,11,9,7,6,10
2024-336,Hong Kong,Hard,32,250,O,20240101,2,V0AM,,,Otto Virtanen,R,193,FIN,22.53,168,365,MU94,2,,Jaume Munar,R,183,ESP,26.658,86,706,3-6 6-3 6-4,3,Q1,105,15,1,84,54,42,15,14,1,3,3,1,75,58,41,10,14,2,5
2024-336,Hong Kong,Hard,32,250,O,20240101,3,BI23,,,Liam Broady,L,183,GBR,29.99,108,608,DF88,,,Aziz Dougaz,L,188,TUN,26.768,234,268,6-3 6-3,3,Q1,86,1,3,56,40,31,7,9,3,4,3,3,58,29,20,11,9,5,9
2024-336,Hong Kong,Hard,32,250,O,20240101,4,SS25,,,Vitaliy Sachko,R,188,UKR,26.467,169,360,P09O,4,,Zsombor Piros,R,180,HUN,24.219,127,514,6-3 6-2,3,Q1,92,4,0,69,42,29,12,9,7,9,0,4,55,30,17,9,8,6,11
2024-336,Hong Kong,Hard,32,250,O,20240101,5,CH12,,,Jan Choinski,R,196,GBR,27.559,160,391,BU13,5,,Zizou Bergs,R,185,BEL,24.58,129,508,6-2 6-2,3,Q1,67,4,1,43,27,23,10,8,3,3,9,1,42,23,15,6,8,1,5
2024-336,Hong Kong,Hard,32,250,O,20240101,6,A0GC,6,,Terence Atmane,L,193,FRA,21.977,144,431,WB15,,,Hong Kit Wong,,,HKG,25.339,1467,3,6-4 6-2,3,Q1,72,9,3,55,34,29,13,9,6,6,3,0,53,30,22,8,9,4,7
2024-336,Hong Kong,Hard,32,250,O,20240101,7,B0FV,,,Roman Andres Burruchaga,R,183,ARG,21.938,184,330,DA86,7,,Joris De Loore,R,191,BEL,30.697,145,428,6-7(5) 7-6(6) 6-4,3,Q1,172,8,4,111,71,54,22,17,1,3,18,1,107,79,54,17,17,3,6
2024-336,Hong Kong,Hard,32,250,O,20240101,8,HH06,,,Marc-Andrea Huesler,L,196,SUI,27.521,194,312,SY67,8,,Sho Shimabukuro,R,180,JPN,26.423,149,423,6-2 6-4,3,Q1,86,6,0,56,39,28,12,9,1,1,3,3,60,36,23,11,9,4,7
2024-336,Hong Kong,Hard,32,250,O,20240101,9,DA81,,,Taro Daniel,R,191,JPN,30.927,75,737,CH12,,,Jan Choinski,R,196,GBR,27.559,160,391,6-4 3-6 6-4,3,Q2,140,8,3,91,54,40,21,14,6,7,8,0,77,52,38,17,15,0,2
2024-336,Hong Kong,Hard,32,250,O,20240101,10,BI23,,,Liam Broady,L,183,GBR,29.99,108,608,B0FV,,,Roman Andres Burruchaga,R,183,ARG,21.938,184,330,6-2 6-3,3,Q2,90,2,3,44,28,25,12,9,0,0,1,3,72,39,22,16,8,4,7
2024-336,Hong Kong,Hard,32,250,O,20240101,11,SS25,,,Vitaliy Sachko,R,188,UKR,26.467,169,360,A0GC,6,,Terence Atmane,L,193,FRA,21.977,144,431,7-6(4) 6-1,3,Q2,88,2,1,60,42,33,11,10,2,3,6,3,62,33,22,15,9,5,8
2024-336,Hong Kong,Hard,32,250,O,20240101,12,HH06,,,Marc-Andrea Huesler,L,196,SUI,27.521,194,312,V0AM,,,Otto Virtanen,R,193,FIN,22.53,168,365,6-2 6-0,3,Q2,49,8,0,30,22,22,6,7,0,0,3,0,50,30,15,8,7,4,9
2024-301,Auckland,Hard,32,250,O,20240108,1,MP20,,,Alexandre Muller,R,183,FRA,26.932,79,711,SP80,,,Nino Serdarusic,R,191,CRO,27.069,318,165,6-3 6-4,3,Q1,88,3,1,54,34,28,11,10,1,2,9,2,61,35,26,11,9,7,10
2024-301,Auckland,Hard,32,250,O,20240108,2,M0QI,,,Alex Michelsen,R,193,USA,19.37,92,659,BK24,5,,Gregoire Barrere,R,183,FRA,29.892,81,708,6-2 6-2,3,Q1,70,6,1,54,33,25,13,8,5,5,2,3,53,37,21,5,8,4,8
2024-301,Auckland,Hard,32,250,O,20240108,3,TE30,,,Alejandro Tabilo,L,188,CHI,26.601,82,707,B0HY,,,Isaac Becroft,R,180,NZL,23.192,861,21,6-0 6-1,3,Q1,52,11,3,38,24,22,7,7,0,0,2,0,37,25,8,6,6,3,8
2024-301,Auckland,Hard,32,250,O,20240108,4,MU94,7,,Jaume Munar,R,183,ESP,26.678,83,706,V708,,,Jiri Vesely,L,198,CZE,30.497,291,188,6-2 7-6(2),3,Q1,100,11,3,65,42,34,15,10,0,0,13,2,67,44,32,10,10,3,5
2024-301,Auckland,Hard,32,250,O,20240108,5,LB66,8,,Constant Lestienne,R,180,FRA,31.628,84,699,KG53,,,Alexander Klintcharov,R,188,NZL,27.37,1118,8,6-0 6-2,3,Q1,58,3,3,48,21,17,16,7,1,1,0,0,36,26,10,2,7,0,5
