tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-339,Brisbane,Hard,28,250,O,20131229,1,G806,1,,Andrey Golubev,R,180,KAZ,26.439,82,620,W630,,,Andrew Whittington,R,188,AUS,20.383,373,111,6-2 6-7(3) 6-2,3,Q1,130,6,2,104,73,48,17,14,7,8,5,6,103,62,38,20,14,13,18
2014-339,Brisbane,Hard,28,250,O,20131229,2,KA98,2,,Bradley Klahn,L,183,USA,23.359,97,568,BH98,,,Matthew Barton,R,191,AUS,22.031,257,181,7-6(3) 6-3,3,Q1,87,9,4,72,47,39,10,11,2,4,7,3,66,26,19,23,10,4,7
2014-339,Brisbane,Hard,28,250,O,20131229,3,H940,,,Ryan Harrison,R,185,USA,21.645,100,549,R977,,,Matt Reid,R,183,AUS,23.452,224,212,6-3 6-4,3,Q1,64,8,1,56,47,36,6,10,2,2,2,3,55,42,27,6,9,1,3
2014-339,Brisbane,Hard,28,250,O,20131229,4,W503,,,James Ward,R,188,GBR,26.886,161,322,R612,4,,Stephane Robert,R,185,FRA,33.618,115,487,6-2 6-2,3,Q1,51,10,2,51,31,24,10,8,0,0,5,6,47,21,15,9,8,2,6
2014-339,Brisbane,Hard,28,250,O,20131229,5,W522,5,,Rhyne Williams,R,185,USA,22.773,130,434,SJ55,,,John-Patrick Smith,L,188,AUS,24.928,221,215,6-4 6-4,3,Q1,84,4,2,57,35,30,13,10,2,2,9,2,62,36,27,13,10,5,7
2014-339,Brisbane,Hard,28,250,O,20131229,6,BE90,6,,Ricardas Berankis,R,175,LTU,23.524,131,433,D923,,,Damir Dzumhur,R,175,BIH,21.61,187,272,6-3 6-4,3,Q1,73,5,6,66,40,28,15,10,5,7,3,3,56,24,14,15,9,5,9
2014-339,Brisbane,Hard,28,250,O,20131229,7,MK40,,,Benjamin Mitchell,R,183,AUS,21.079,266,173,O234,7,,Wayne Odesnik,L,180,USA,28.104,138,410,6-4 6-4,3,Q1,67,8,1,55,38,33,9,10,1,1,2,0,57,43,27,11,10,1,3
2014-339,Brisbane,Hard,28,250,O,20131229,8,K737,,,Alex Kuznetsov,R,183,USA,26.897,142,397,MF90,,,Kristijan Mesaros,R,188,CRO,25.492,196,257,6-1 3-1 RET,3,Q1,51,5,1,29,21,18,4,5,1,1,2,4,52,25,13,10,6,5,9
2014-339,Brisbane,Hard,28,250,O,20131229,9,CA99,,,Marius Copil,R,191,ROU,23.201,147,369,D776,,,Thiemo de Bakker,R,193,NED,25.276,146,384,6-3 6-2,3,Q1,58,14,0,45,31,27,9,9,0,0,7,1,61,39,26,7,8,7,10
2014-339,Brisbane,Hard,28,250,O,20131229,10,H996,,,Pierre-Hugues Herbert,R,188,FRA,22.784,151,344,V784,,,Gavin Van Peperzeel,R,180,AUS,21.752,554,58,6-2 6-3,3,Q1,57,13,1,57,35,28,14,9,5,5,8,4,47,32,25,3,8,6,9
2014-339,Brisbane,Hard,28,250,O,20131229,11,K771,,,Marsel Ilhan,R,191,TUR,26.552,185,276,HB29,,,Andrew Harris,R,183,AUS,19.814,599,47,6-1 RET,3,Q1,29,4,1,15,12,11,1,3,0,0,0,2,18,11,5,1,4,0,3
2014-339,Brisbane,Hard,28,250,O,20131229,12,I230,,,Tatsuma Ito,R,180,JPN,25.615,155,334,TC61,,,Jordan Thompson,R,183,AUS,19.693,318,139,6-2 6-3,3,Q1,61,2,2,42,19,16,17,8,1,1,3,3,55,31,20,11,9,6,10
2014-339,Brisbane,Hard,28,250,O,20131229,13,KD46,,,Thanasi Kokkinakis,R,193,AUS,17.719,627,41,J553,,,Omar Jasika,L,183,AUS,16.616,1052,9,6-2 6-0,3,Q1,48,10,2,41,23,19,12,7,0,0,1,5,44,31,13,5,7,2,7
2014-339,Brisbane,Hard,28,250,O,20131229,14,SE73,,,Yuichi Sugita,R,175,JPN,25.279,170,310,BI81,,,Alex Bolt,L,183,AUS,20.98,442,87,6-4 6-4,3,Q1,62,2,1,50,31,25,15,10,0,0,6,1,58,41,31,6,10,1,3
2014-339,Brisbane,Hard,28,250,O,20131229,15,W373,,,Jimmy Wang,R,180,TPE,28.887,174,302,Z168,,,Mischa Zverev,L,191,GER,26.355,176,295,6-3 6-4,3,Q1,76,1,2,71,46,36,13,10,3,3,8,5,57,39,27,7,9,1,3
2014-339,Brisbane,Hard,28,250,O,20131229,16,W571,,,Di Wu,R,173,CHN,22.292,208,240,MN44,,,Bradley Mousley,R,188,AUS,17.988,1655,2,6-2 7-5,3,Q1,65,5,1,55,40,33,9,10,0,0,10,3,71,39,28,13,10,6,9
2014-339,Brisbane,Hard,28,250,O,20131229,17,KD46,,,Thanasi Kokkinakis,R,193,AUS,17.719,627,41,G806,1,,Andrey Golubev,R,180,KAZ,26.439,82,620,6-4 7-5,3,Q2,85,6,2,58,40,32,9,11,0,1,8,7,75,41,27,15,11,8,11
2014-339,Brisbane,Hard,28,250,O,20131229,18,SE73,,,Yuichi Sugita,R,175,JPN,25.279,170,310,KA98,2,,Bradley Klahn,L,183,USA,23.359,97,568,6-4 1-6 6-3,3,Q2,113,3,3,82,57,39,11,13,2,5,12,2,81,42,32,19,13,2,5
2014-339,Brisbane,Hard,28,250,O,20131229,19,H940,,,Ryan Harrison,R,185,USA,21.645,100,549,W373,,,Jimmy Wang,R,180,TPE,28.887,174,302,6-4 6-4,3,Q2,71,6,2,55,35,30,11,10,0,0,3,1,57,39,27,11,10,2,4
2014-339,Brisbane,Hard,28,250,O,20131229,20,W571,,,Di Wu,R,173,CHN,22.292,208,240,W522,5,,Rhyne Williams,R,185,USA,22.773,130,434,6-4 6-1,3,Q2,62,1,0,48,27,22,10,9,2,4,3,1,44,24,11,8,8,4,9
2014-339,Brisbane,Hard,28,250,O,20131229,21,I230,,,Tatsuma Ito,R,180,JPN,25.615,155,334,BE90,6,,Ricardas Berankis,R,175,LTU,23.524,131,433,7-6(5) 6-1,3,Q2,87,4,0,70,38,27,22,9,4,4,5,2,78,43,28,17,10,7,10
2014-339,Brisbane,Hard,28,250,O,20131229,22,K737,,,Alex Kuznetsov,R,183,USA,26.897,142,397,K771,,,Marsel Ilhan,R,191,TUR,26.552,185,276,6-3 7-6(5),3,Q2,91,7,1,76,51,36,13,10,8,9,3,1,67,41,31,11,11,0,3
2014-339,Brisbane,Hard,28,250,O,20131229,23,CA99,,,Marius Copil,R,191,ROU,23.201,147,369,W503,,,James Ward,R,188,GBR,26.886,161,322,4-6 6-4 6-3,3,Q2,102,14,3,81,50,43,14,15,1,3,3,2,76,54,40,11,14,3,6
2014-339,Brisbane,Hard,28,250,O,20131229,24,H996,,,Pierre-Hugues Herbert,R,188,FRA,22.784,151,344,MK40,,,Benjamin Mitchell,R,183,AUS,21.079,266,173,7-5 5-7 7-6(1),3,Q2,123,17,6,99,49,42,32,18,0,1,10,6,96,59,45,27,18,1,2
2014-339,Brisbane,Hard,28,250,O,20131229,25,H940,,,Ryan Harrison,R,185,USA,21.645,100,549,I230,,,Tatsuma Ito,R,180,JPN,25.615,155,334,1-6 6-3 6-0,3,Q3,92,10,3,73,45,36,11,11,3,5,5,6,81,46,27,19,11,6,10
2014-339,Brisbane,Hard,28,250,O,20131229,26,CA99,,,Marius Copil,R,191,ROU,23.201,147,369,K737,,,Alex Kuznetsov,R,183,USA,26.897,142,397,6-4 6-1,3,Q3,54,11,1,48,32,27,9,9,0,0,3,0,43,32,16,9,8,1,4
2014-339,Brisbane,Hard,28,250,O,20131229,27,KD46,,,Thanasi Kokkinakis,R,193,AUS,17.719,627,41,W571,,,Di Wu,R,173,CHN,22.292,208,240,6-1 6-4,3,Q3,68,5,4,52,23,19,15,9,0,1,1,1,51,33,19,7,8,3,7
2014-339,Brisbane,Hard,28,250,O,20131229,28,SE73,,,Yuichi Sugita,R,175,JPN,25.279,170,310,H996,,,Pierre-Hugues Herbert,R,188,FRA,22.784,151,344,7-5 7-6(5),3,Q3,98,1,1,72,44,34,22,12,3,3,17,1,75,42,33,20,12,4,5
2014-451,Doha,Hard,32,250,O,20131230,1,H442,,,Jan Hernych,R,188,CZE,34.483,219,216,G681,1,,Teymuraz Gabashvili,R,185,GEO,28.605,76,651,6-4 6-4,3,Q1,77,9,2,64,40,30,12,10,5,6,2,1,56,32,20,13,10,1,4
2014-451,Doha,Hard,32,250,O,20131230,2,B842,2,,Alex Bogomolov Jr.,R,178,RUS,30.689,88,605,C582,,,Marco Chiudinelli,R,185,SUI,32.304,173,303,W/O,3,Q1,,,,,,,,,,,,,,,,,,,
2014-451,Doha,Hard,32,250,O,20131230,3,TB69,,,Dominic Thiem,R,185,AUT,20.323,139,410,Y124,3,,Donald Young,L,183,USA,24.438,96,569,6-4 6-4,3,Q1,80,6,2,59,28,19,19,10,3,5,1,4,66,46,23,10,10,4,8
