tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-339,Brisbane,Hard,32,250,O,20100103,1,J361,7,,Greg Jones,R,193,AUS,20.923,,,K459,,,Sadik Kadir,R,,AUS,28.438,,,7-5 6-2,3,Q1,83,8,0,53,33,27,15,10,1,1,1,1,59,38,26,11,10,3,6
2010-339,Brisbane,Hard,32,250,O,20100103,2,L836,,,Nick Lindahl,R,183,AUS,21.426,,,K839,,,Tobias Kamke,R,178,GER,23.622,,,7-6(6) 7-6(6),3,Q1,120,4,3,87,67,48,11,12,5,7,2,1,99,76,47,14,12,9,11
2010-339,Brisbane,Hard,32,250,O,20100103,3,A806,,,Miles Armstrong,,0,AUS,23.718,,,BH87,,,Maverick Banes,R,,AUS,17.733,,,6-7(4) 7-5 6-4,3,Q1,118,14,5,109,64,49,21,17,2,5,3,5,105,65,46,21,17,6,11
2010-339,Brisbane,Hard,32,250,O,20100103,4,E690,,,Matthew Ebden,R,188,AUS,22.105,,,F634,,,Isaac Frost,,,AUS,20.991,,,6-2 6-2,3,Q1,59,8,1,44,36,29,6,8,1,1,3,4,48,32,18,5,8,2,6
2010-339,Brisbane,Hard,32,250,O,20100103,5,G940,,,Sam Groth,R,193,AUS,22.209,,,CD94,,,Jarryd Chaplin,R,183,AUS,17.725,,,6-3 6-4,3,Q1,58,9,2,49,36,32,8,10,0,0,3,2,56,36,28,6,9,2,4
2010-339,Brisbane,Hard,32,250,O,20100103,6,H933,,,Kaden Hensel,,,AUS,23.581,,,MK45,,,Andrew Mcleod,R,,AUS,16.805,,,6-0 6-4,3,Q1,65,8,2,48,33,25,10,8,1,1,3,3,58,33,17,9,8,7,11
2010-339,Brisbane,Hard,32,250,O,20100103,7,KA43,,,Matheson Klein,,,AUS,20.479,,,RB23,,,Mark Richards,,,AUS,16.085,,,6-1 6-0,3,Q1,72,6,4,47,27,19,10,6,3,4,1,4,48,21,11,4,7,3,10
2010-339,Brisbane,Hard,32,250,O,20100103,8,L951,,,Joel Lindner,L,,AUS,20.994,,,MK40,,,Benjamin Mitchell,R,183,AUS,17.092,,,6-4 6-2,3,Q1,50,9,1,42,30,27,9,9,0,0,3,3,56,34,24,9,9,3,6
2010-339,Brisbane,Hard,32,250,O,20100103,9,R977,,,Matt Reid,R,183,AUS,19.466,,,KB95,,,Jason Kubler,R,178,AUS,16.627,,,6-0 6-3,3,Q1,60,9,0,48,28,23,12,8,0,0,1,4,51,31,16,9,7,4,8
2010-339,Brisbane,Hard,32,250,O,20100103,10,S673,,,Joseph Sirianni,R,178,AUS,34.962,,,D487,,,Lukas Dlouhy,R,185,CZE,26.738,,,4-6 7-5 7-6(2),3,Q1,131,8,4,110,67,47,25,17,10,14,7,13,106,62,40,22,17,2,6
