tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2013-339,Brisbane,Hard,28,250,O,20121230,1,K403,,,Igor Kunitsyn,R,180,RUS,31.25,162,339,MA30,1,,Gilles Muller,L,193,LUX,29.645,67,719,6-1 4-6 7-6(4),3,Q1,123,2,2,93,52,38,30,15,1,2,20,4,86,55,41,18,14,3,5
2013-339,Brisbane,Hard,28,250,O,20121230,2,H940,,,Ryan Harrison,R,185,USA,20.649,69,710,SE69,,,Ivan Sergeyev,R,175,UKR,24.945,155,364,6-3 6-2,3,Q1,60,3,2,62,38,27,15,9,7,7,0,3,43,19,13,13,8,0,3
2013-339,Brisbane,Hard,28,250,O,20121230,3,Y124,,,Donald Young,L,183,USA,23.439,189,255,R397,3,,Olivier Rochus,R,168,BEL,31.948,90,577,6-3 6-4,3,Q1,75,4,4,61,45,33,8,10,3,4,0,3,61,44,29,5,9,3,6
2013-339,Brisbane,Hard,28,250,O,20121230,4,L799,,,Jesse Levine,L,175,CAN,25.21,104,530,N503,,,Aleksandr Nedovyesov,R,188,KAZ,25.873,205,233,6-4 6-3,3,Q1,78,2,2,57,34,26,14,9,4,5,6,1,67,43,25,11,10,5,9
2013-339,Brisbane,Hard,28,250,O,20121230,5,BE90,5,,Ricardas Berankis,R,175,LTU,22.527,113,501,M836,,,Dominik Meffert,R,196,GER,31.726,174,297,7-5 7-6(3),3,Q1,127,1,2,70,38,27,21,12,1,3,5,5,116,57,39,25,12,11,14
2013-339,Brisbane,Hard,28,250,O,20121230,6,J386,,,Steve Johnson,R,188,USA,23.017,175,296,D776,6,,Thiemo de Bakker,R,193,NED,24.279,124,457,6-3 6-4,3,Q1,66,8,3,54,30,25,14,10,1,2,13,0,56,36,25,9,9,2,5
2013-339,Brisbane,Hard,28,250,O,20121230,7,W571,,,Di Wu,R,173,CHN,21.295,183,273,SF62,7,,Tim Smyczek,R,175,USA,25.002,128,448,6-4 6-3,3,Q1,69,0,3,70,36,29,19,10,4,4,3,1,53,40,30,5,9,1,3
2013-339,Brisbane,Hard,28,250,O,20121230,8,B842,8,,Alex Bogomolov Jr.,R,178,RUS,29.689,129,447,D551,,,Farrukh Dustov,R,193,UZB,26.609,229,209,6-2 2-0 RET,3,Q1,57,2,2,33,24,19,3,5,1,2,3,3,30,18,9,2,5,4,8
2013-339,Brisbane,Hard,28,250,O,20121230,9,D499,,,Frank Dancevic,R,185,CAN,28.26,165,324,W522,,,Rhyne Williams,R,185,USA,21.777,190,247,6-4 6-0,3,Q1,71,7,2,52,28,24,13,8,4,4,4,2,57,36,21,8,8,4,8
2013-339,Brisbane,Hard,28,250,O,20121230,10,D994,,,James Duckworth,R,183,AUS,20.942,209,230,KE17,,,Nick Kyrgios,R,193,AUS,17.678,834,15,6-1 7-6(4),3,Q1,71,14,1,64,35,27,21,10,1,1,6,3,56,32,25,10,9,1,3
2013-339,Brisbane,Hard,28,250,O,20121230,11,K624,,,Bastian Knittel,L,180,GER,29.396,201,238,R977,,,Matt Reid,R,183,AUS,22.456,312,146,6-4 2-6 6-4,3,Q1,123,7,6,102,56,38,22,14,6,9,10,11,86,42,32,23,14,7,10
2013-339,Brisbane,Hard,28,250,O,20121230,12,KB09,,,Denis Kudla,R,180,USA,20.37,137,402,SJ55,,,John-Patrick Smith,L,188,AUS,23.932,244,195,6-7(4) 6-4 7-5,3,Q1,137,3,4,102,63,46,24,17,4,7,6,3,107,62,45,21,17,2,7
2013-339,Brisbane,Hard,28,250,O,20121230,13,MH30,,,John Millman,R,183,AUS,23.546,199,239,SM09,,,Luke Saville,R,188,AUS,18.992,348,124,6-2 6-2,3,Q1,63,4,0,37,22,21,11,8,0,0,3,2,52,37,23,4,8,4,8
