tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-339,Brisbane,Hard,32,250,O,20120101,1,K839,1,,Tobias Kamke,R,178,GER,25.615,,,PE39,,,Scott Puodziunas,R,198,AUS,22.144,,,6-1 7-6(3),3,Q1,76,3,3,61,41,32,13,10,3,4,1,9,64,39,28,7,9,3,6
2012-339,Brisbane,Hard,32,250,O,20120101,2,A511,,,Igor Andreev,R,185,RUS,28.468,,,D438,,,Amer Delic,R,196,BIH,29.506,,,6-4 5-7 7-6(5),3,Q1,136,12,4,99,64,51,17,17,0,2,10,1,101,71,53,15,17,0,2
2012-339,Brisbane,Hard,32,250,O,20120101,3,I230,,,Tatsuma Ito,R,180,JPN,23.622,,,C813,,,Ti Chen,R,178,TPE,28.246,,,6-2 6-2,3,Q1,66,5,2,46,33,27,6,8,4,5,0,4,50,28,16,8,8,4,9
2012-339,Brisbane,Hard,32,250,O,20120101,4,H442,,,Jan Hernych,R,188,CZE,32.487,,,BE90,4,,Ricardas Berankis,R,175,LTU,21.53,,,6-1 6-4,3,Q1,59,5,2,53,36,30,7,9,2,3,4,2,53,26,16,13,8,3,7
2012-339,Brisbane,Hard,32,250,O,20120101,5,MH30,,,John Millman,R,183,AUS,22.549,,,R483,5,,Bobby Reynolds,R,183,USA,29.459,,,4-6 6-1 6-4,3,Q1,103,7,3,95,66,50,12,14,7,9,8,3,65,46,34,7,13,3,7
2012-339,Brisbane,Hard,32,250,O,20120101,6,Z254,6,,Jurgen Zopp,R,191,EST,23.759,,,MF71,,,Denys Molchanov,R,188,UKR,24.63,,,7-5 1-4 RET,3,Q1,71,2,0,44,30,21,9,8,1,3,3,0,65,38,27,14,9,7,9
2012-339,Brisbane,Hard,32,250,O,20120101,7,E629,,,Colin Ebelthite,R,,AUS,27.094,,,G511,7,,Simon Greul,R,185,GER,30.719,,,6-1 6-2,3,Q1,64,3,1,50,33,28,8,8,2,2,3,0,44,26,14,6,7,2,6
2012-339,Brisbane,Hard,32,250,O,20120101,8,L799,,,Jesse Levine,L,175,CAN,24.214,,,C706,,,Nikola Ciric,L,201,SRB,28.416,,,5-7 6-3 6-4,3,Q1,136,5,8,97,69,50,11,16,4,8,9,4,100,58,42,16,15,12,17
2012-339,Brisbane,Hard,32,250,O,20120101,9,BH87,,,Maverick Banes,R,,AUS,19.726,,,G892,,,Alejandro Gonzalez,R,191,COL,22.897,,,3-6 6-2 7-5,3,Q1,135,0,0,91,61,34,15,14,2,7,0,1,84,63,36,7,15,7,14
2012-339,Brisbane,Hard,32,250,O,20120101,10,GA71,,,Laurynas Grigelis,R,183,LTU,20.383,,,H421,,,Paul Hanley,R,183,AUS,34.136,,,7-6(4) 6-2,3,Q1,74,2,3,68,44,26,16,10,7,9,4,1,75,40,26,15,10,0,4
2012-339,Brisbane,Hard,32,250,O,20120101,11,G621,,,Chris Guccione,L,201,AUS,26.423,,,D487,,,Lukas Dlouhy,R,185,CZE,28.731,,,6-4 6-7(5) 6-2,3,Q1,95,20,2,94,59,43,18,15,1,4,5,12,98,62,37,16,15,4,10
2012-339,Brisbane,Hard,32,250,O,20120101,12,J361,,,Greg Jones,R,193,AUS,22.916,,,G940,,,Sam Groth,R,193,AUS,24.203,,,7-6(2) 7-6(3),3,Q1,97,8,2,73,47,43,13,12,1,2,10,6,73,44,38,14,12,3,4
2012-339,Brisbane,Hard,32,250,O,20120101,13,L837,,,Michael Look,R,188,AUS,24.104,,,SJ55,,,John-Patrick Smith,L,188,AUS,22.935,,,3-6 7-6(5) 7-6(3),3,Q1,156,3,1,107,80,58,15,16,4,7,10,3,117,71,52,23,17,4,6
2012-339,Brisbane,Hard,32,250,O,20120101,14,R977,,,Matt Reid,R,183,AUS,21.459,,,F634,,,Isaac Frost,,,AUS,22.984,,,7-5 6-2,3,Q1,81,9,5,53,33,29,11,10,1,2,11,0,62,34,26,9,10,2,6
2012-339,Brisbane,Hard,32,250,O,20120101,15,SM09,,,Luke Saville,R,188,AUS,17.996,,,BI81,,,Alex Bolt,L,183,AUS,18.987,,,6-4 1-6 6-3,3,Q1,93,5,3,73,49,37,12,13,5,7,13,7,97,45,34,27,13,12,14
2012-339,Brisbane,Hard,32,250,O,20120101,16,V784,,,Gavin Van Peperzeel,R,180,AUS,19.759,,,F787,,,Emilien Firmin,R,,FRA,21.476,,,7-6(5) 7-5,3,Q1,97,9,5,83,44,37,22,12,0,0,6,6,82,40,30,25,12,7,8
2012-339,Brisbane,Hard,32,250,O,20120101,17,K839,1,,Tobias Kamke,R,178,GER,25.615,,,J361,,,Greg Jones,R,193,AUS,22.916,,,6-3 6-3,3,Q2,77,3,0,59,34,25,17,9,4,4,6,2,50,31,24,5,9,0,3
2012-339,Brisbane,Hard,32,250,O,20120101,18,A511,,,Igor Andreev,R,185,RUS,28.468,,,R977,,,Matt Reid,R,183,AUS,21.459,,,6-7(12) 6-3 6-4,3,Q2,167,17,4,118,71,59,24,16,6,6,11,7,115,59,45,30,15,6,8
2012-339,Brisbane,Hard,32,250,O,20120101,19,I230,,,Tatsuma Ito,R,180,JPN,23.622,,,SM09,,,Luke Saville,R,188,AUS,17.996,,,6-2 6-2,3,Q2,53,2,2,43,25,22,11,8,0,0,2,5,45,23,14,8,8,4,8
2012-339,Brisbane,Hard,32,250,O,20120101,20,Z254,6,,Jurgen Zopp,R,191,EST,23.759,,,V784,,,Gavin Van Peperzeel,R,180,AUS,19.759,,,4-6 6-1 6-3,3,Q2,88,7,2,71,43,35,17,13,2,3,9,7,84,47,35,14,13,4,8
2012-339,Brisbane,Hard,32,250,O,20120101,21,L799,,,Jesse Levine,L,175,CAN,24.214,,,BH87,,,Maverick Banes,R,,AUS,19.726,,,6-2 6-3,3,Q2,79,1,5,59,38,26,13,8,7,7,3,4,62,38,22,9,9,9,13
2012-339,Brisbane,Hard,32,250,O,20120101,22,G621,,,Chris Guccione,L,201,AUS,26.423,,,H442,,,Jan Hernych,R,188,CZE,32.487,,,6-3 7-6(4),3,Q2,87,19,2,72,45,37,13,11,2,2,1,1,73,44,28,17,10,1,2
2012-339,Brisbane,Hard,32,250,O,20120101,23,L837,,,Michael Look,R,188,AUS,24.104,,,E629,,,Colin Ebelthite,R,,AUS,27.094,,,6-3 6-4,3,Q2,72,10,2,69,39,30,16,10,6,7,3,2,50,31,21,10,9,2,5
2012-339,Brisbane,Hard,32,250,O,20120101,24,MH30,,,John Millman,R,183,AUS,22.549,,,GA71,,,Laurynas Grigelis,R,183,LTU,20.383,,,4-6 6-2 6-2,3,Q2,94,4,2,93,62,44,17,13,6,7,6,5,70,45,34,9,13,3,7
