tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-339,Brisbane,Hard,32,250,O,20110102,1,ME82,,,Adrian Mannarino,L,180,FRA,22.511,,,BD59,,,Carsten Ball,L,198,AUS,23.537,,,7-5 6-7(3) 7-6(7),3,Q1,181,8,5,116,54,44,40,18,3,4,23,5,141,98,70,22,18,10,12
2011-339,Brisbane,Hard,32,250,O,20110102,2,BE90,,,Ricardas Berankis,R,175,LTU,20.534,,,L386,,,Jean-Rene Lisnard,R,173,MON,31.272,,,6-7(4) 6-1 6-3,3,Q1,129,14,1,104,58,42,24,14,5,6,5,4,95,54,36,18,14,5,10
2011-339,Brisbane,Hard,32,250,O,20110102,3,H940,,,Ryan Harrison,R,185,USA,18.656,,,R368,3,,Michael Russell,R,173,USA,32.674,,,4-0 RET,3,Q1,25,2,1,11,8,6,2,2,0,0,0,2,12,5,2,1,2,0,2
2011-339,Brisbane,Hard,32,250,O,20110102,4,J361,,,Greg Jones,R,193,AUS,21.919,,,G511,4,,Simon Greul,R,185,GER,29.722,,,7-6(2) 6-3,3,Q1,86,15,1,61,39,31,10,10,3,5,11,3,63,38,27,10,11,3,7
2011-339,Brisbane,Hard,32,250,O,20110102,5,K310,5,,Stefan Koubek,L,175,AUT,33.999,,,C834,,,Juan Sebastian Cabal,R,185,COL,24.69,,,6-0 6-3,3,Q1,51,3,1,43,30,25,5,8,0,1,0,3,39,24,11,5,7,0,5
2011-339,Brisbane,Hard,32,250,O,20110102,6,L515,,,Peter Luczak,R,183,AUS,31.34,,,P467,,,Alexander Peya,R,183,AUT,30.516,,,4-6 6-1 6-4,3,Q1,129,8,2,90,62,48,10,14,5,7,11,7,98,52,39,17,13,14,18
2011-339,Brisbane,Hard,32,250,O,20110102,7,R483,,,Bobby Reynolds,R,183,USA,28.463,,,K760,7,,Evgeny Korolev,R,185,KAZ,22.883,,,6-1 6-2,3,Q1,61,6,1,44,23,20,13,8,1,1,2,2,39,19,14,3,7,1,5
2011-339,Brisbane,Hard,32,250,O,20110102,8,Z189,8,,Grega Zemlja,R,183,SLO,24.26,,,G940,,,Sam Groth,R,193,AUS,23.206,,,6-3 3-6 6-4,3,Q1,123,6,1,90,62,39,19,14,3,5,26,6,105,53,42,22,14,10,13
2011-339,Brisbane,Hard,32,250,O,20110102,9,BC65,,,Matthias Bachinger,R,188,GER,23.754,,,F525,,,Robert Farah,R,193,COL,23.951,,,6-2 6-0,3,Q1,54,2,2,40,21,18,11,7,1,1,2,4,41,23,13,4,7,4,9
2011-339,Brisbane,Hard,32,250,O,20110102,10,C968,,,Marco Crugnola,R,188,ITA,27.611,,,K964,,,Brydan Klein,R,188,GBR,21.005,,,3-6 6-4 6-3,3,Q1,112,1,3,88,60,40,20,14,4,5,5,1,77,54,40,13,14,4,6
