tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-451,Doha,Hard,32,250,O,20071231,1,N437,,,Gianluca Naso,R,193,ITA,20.983,393,84,L395,1,,Federico Luzzi,R,188,ITA,27.992,135,327,6-1 4-6 6-0,3,Q1,87,4,0,69,35,24,21,11,4,6,7,10,72,38,29,5,12,5,12
2008-451,Doha,Hard,32,250,O,20071231,2,M590,,,Alberto Martin,R,175,ESP,29.363,143,308,B503,,,George Bastl,R,183,SUI,32.75,464,62,7-6(5) 2-6 6-1,3,Q1,139,3,3,93,61,41,15,14,3,8,4,4,87,50,32,14,13,2,7
2008-451,Doha,Hard,32,250,O,20071231,3,D487,3,,Lukas Dlouhy,R,185,CZE,24.728,155,275,D908,,,Philipp Davydenko,R,183,RUS,15.326,,,6-2 6-0,3,Q1,36,7,4,33,22,21,5,7,0,1,0,2,47,33,13,4,7,3,9
2008-451,Doha,Hard,32,250,O,20071231,4,M759,4,,Wesley Moodie,R,196,RSA,28.876,162,261,A742,,,Ahmed Abdrabuh,,,SYR,22.606,,,6-0 6-0,3,Q1,37,5,1,28,16,15,9,6,0,0,0,4,36,15,6,4,6,3,9
2008-451,Doha,Hard,32,250,O,20071231,5,R336,,,Christophe Rochus,R,170,BEL,29.043,194,218,W224,,,Rogier Wassen,R,191,NED,31.392,,,6-0 7-6(4),3,Q1,71,5,3,66,48,33,10,9,1,2,2,4,55,30,18,9,9,1,5
2008-451,Doha,Hard,32,250,O,20071231,6,SC77,6,,Sergiy Stakhovsky,R,193,UKR,21.982,199,214,H526,,,Gregory Howe,,,,36.148,1299,3,6-1 6-2,3,Q1,41,5,1,43,24,23,10,8,2,2,0,1,45,32,17,4,7,4,8
2008-451,Doha,Hard,32,250,O,20071231,7,L523,7,,Michael Lammer,R,185,SUI,25.769,212,196,K745,,,Tom Krug,,,GER,,,,6-1 6-0,3,Q1,50,3,0,35,23,20,5,6,0,0,0,0,48,21,11,7,7,2,8
2008-451,Doha,Hard,32,250,O,20071231,8,D385,,,Benedikt Dorsch,R,178,GER,26.971,215,191,J259,,,Andis Juska,R,,LAT,22.609,249,161,6-2 6-4,3,Q1,76,3,2,61,40,33,11,9,2,2,15,6,64,44,30,9,9,5,8
2008-451,Doha,Hard,32,250,O,20071231,9,A499,,,Omar Alawadhi,R,,UAE,25.955,,,A609,,,Khalid Al Nabhani,,,OMA,25.328,,,6-4 6-0,3,Q1,63,2,3,42,27,24,9,8,0,0,1,5,69,40,21,13,8,9,13
2008-451,Doha,Hard,32,250,O,20071231,10,A340,,,Francesco Aldi,R,175,ITA,26.286,248,162,F364,,,Mariusz Fyrstenberg,L,191,POL,27.48,,,3-6 6-1 6-1,3,Q1,93,0,7,62,40,31,10,11,1,3,4,3,79,43,23,16,12,2,8
2008-451,Doha,Hard,32,250,O,20071231,11,BA08,,,Alberto Brizzi,R,,ITA,23.765,287,133,CA18,,,Artur Chernov,,,RUS,19.573,1098,6,6-4 6-2,3,Q1,71,6,4,58,39,30,8,9,1,2,0,5,66,39,23,12,9,1,5
2008-451,Doha,Hard,32,250,O,20071231,12,C445,,,Frantisek Cermak,R,193,CZE,31.127,869,12,MA63,,,Aleksandr Mityaev,,,,33.908,,,6-1 6-3,3,Q1,47,5,2,45,25,21,9,8,0,1,2,0,49,35,17,5,8,2,7
2008-451,Doha,Hard,32,250,O,20071231,13,D351,,,Sebastien De Chaunac,R,183,FRA,30.231,377,90,U061,,,Adrian Ungur,R,178,ROU,22.938,268,144,7-5 7-5,3,Q1,104,7,1,73,46,31,17,12,2,4,0,4,76,46,31,12,12,4,8
2008-451,Doha,Hard,32,250,O,20071231,14,D551,,,Farrukh Dustov,R,193,UZB,21.61,252,160,K406,,,Christopher Kas,R,188,GER,27.548,,,6-2 6-1,3,Q1,53,2,1,36,27,24,5,7,2,2,1,2,51,22,10,13,8,5,10
2008-451,Doha,Hard,32,250,O,20071231,15,SD23,,,Artem Sitak,R,185,NZL,21.892,507,52,A653,,,Mohammed Al Nabhani,R,,OMA,22.33,,,6-0 6-4,3,Q1,53,9,0,40,21,19,13,8,0,0,0,4,51,33,17,8,8,3,7
2008-451,Doha,Hard,32,250,O,20071231,16,Z072,,,Nenad Zimonjic,R,191,SRB,31.573,692,24,A324,,,Simon Aspelin,R,185,SWE,33.64,,,6-4 6-3,3,Q1,90,15,5,57,36,31,11,10,0,0,3,3,93,61,38,14,9,12,14
2008-451,Doha,Hard,32,250,O,20071231,17,M590,,,Alberto Martin,R,175,ESP,29.363,143,308,A499,,,Omar Alawadhi,R,,UAE,25.955,,,6-3 7-5,3,Q2,90,5,5,89,46,34,22,11,9,10,0,1,63,40,24,13,10,7,10
2008-451,Doha,Hard,32,250,O,20071231,18,Z072,,,Nenad Zimonjic,R,191,SRB,31.573,692,24,D487,3,,Lukas Dlouhy,R,185,CZE,24.728,155,275,6-4 3-6 6-2,3,Q2,100,5,3,76,56,39,9,13,5,8,5,7,100,58,39,18,14,11,16
