tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-451,Doha,Hard,28,250,O,20200106,1,F724,,,Marton Fucsovics,R,188,HUN,27.91,70,790,GC89,,,Egor Gerasimov,R,196,BLR,27.151,98,575,6-4 1-6 6-3,3,Q1,117,5,3,74,41,30,20,13,3,5,3,5,101,65,45,17,13,7,9
2020-451,Doha,Hard,28,250,O,20200106,2,Y268,,,Mikael Ymer,R,185,SWE,21.325,76,681,Z367,,,Mousa Shanan Zayed,,,QAT,25.829,,,6-1 6-1,3,Q1,54,1,3,37,25,21,7,7,0,0,0,3,42,28,10,6,7,2,7
2020-451,Doha,Hard,28,250,O,20200106,3,BK24,,,Gregoire Barrere,R,183,FRA,25.886,83,636,CE25,,,Salvatore Caruso,R,185,ITA,27.058,93,586,6-2 4-6 6-3,3,Q1,106,11,5,99,68,42,15,14,14,18,3,4,77,49,29,11,13,4,10
2020-451,Doha,Hard,28,250,O,20200106,4,MW02,,,Corentin Moutet,L,180,FRA,20.717,81,638,MF35,,,Andrej Martin,R,183,SVK,30.294,104,528,6-4 6-4,3,Q1,87,0,2,58,38,27,12,10,2,3,1,5,69,43,27,13,10,3,6
2020-451,Doha,Hard,28,250,O,20200106,5,DH50,5,,Alejandro Davidovich Fokina,R,180,ESP,20.589,85,627,ML57,,,Gianluca Mager,R,188,ITA,25.098,114,473,6-3 6-2,3,Q1,74,1,4,60,35,26,15,9,3,3,4,2,62,32,23,11,8,4,7
2020-451,Doha,Hard,28,250,O,20200106,6,MJ08,6,,Thiago Monteiro,L,183,BRA,25.602,87,616,N0CK,,,Rashed Nawaf,,,QAT,14.598,,,6-2 6-0,3,Q1,49,1,1,37,24,20,9,7,1,1,1,1,52,40,17,6,7,7,12
2020-451,Doha,Hard,28,250,O,20200106,7,P09Z,,,Alexei Popyrin,R,196,AUS,20.422,94,585,D923,7,,Damir Dzumhur,R,175,BIH,27.63,91,594,4-6 7-6(5) 7-5,3,Q1,138,9,7,108,61,44,24,17,2,6,2,4,107,64,43,24,17,3,7
2020-451,Doha,Hard,28,250,O,20200106,8,V708,,,Jiri Vesely,L,198,CZE,26.491,102,534,K336,8,,Ivo Karlovic,R,211,CRO,40.854,123,436,6-7(10) 6-3 6-2,3,Q1,127,9,2,106,81,61,14,15,3,3,15,3,79,52,41,17,14,0,3
2020-451,Doha,Hard,28,250,O,20200106,9,F724,,,Marton Fucsovics,R,188,HUN,27.91,70,790,V708,,,Jiri Vesely,L,198,CZE,26.491,102,534,4-6 6-1 6-4,3,Q2,109,5,1,77,50,36,15,14,3,6,3,4,74,48,30,12,13,0,5
2020-451,Doha,Hard,28,250,O,20200106,10,Y268,,,Mikael Ymer,R,185,SWE,21.325,76,681,DH50,5,,Alejandro Davidovich Fokina,R,180,ESP,20.589,85,627,3-6 7-5 6-4,3,Q2,131,0,8,109,69,44,17,16,8,13,1,1,83,58,34,15,15,3,8
2020-451,Doha,Hard,28,250,O,20200106,11,BK24,,,Gregoire Barrere,R,183,FRA,25.886,83,636,MJ08,6,,Thiago Monteiro,L,183,BRA,25.602,87,616,6-4 6-4,3,Q2,84,5,1,61,48,33,8,10,2,3,4,2,73,51,34,9,10,7,10
