tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2023-2843,Adelaide 1,Hard,32,250,O,20230101,1,KF17,,,Soonwoo Kwon,R,180,KOR,25.081,,,TB69,,,Dominic Thiem,R,185,AUT,29.328,,,6-4 6-1,3,Q1,74,8,4,51,31,21,12,9,0,2,6,2,54,32,15,9,8,4,9
2023-2843,Adelaide 1,Hard,32,250,O,20230101,2,WB32,,,Yibing Wu,R,183,CHN,23.217,,,HH26,2,,Ugo Humbert,L,188,FRA,24.517,,,6-3 7-6(1),3,Q1,80,5,1,65,42,32,16,11,3,4,3,0,57,40,25,8,10,2,4
2023-2843,Adelaide 1,Hard,32,250,O,20230101,3,SX50,,,Roman Safiullin,R,185,RUS,25.402,,,H997,,,Yannick Hanfmann,R,193,GER,31.135,,,6-7(2) 6-4 6-4,3,Q1,150,9,1,92,68,51,16,16,5,6,8,1,111,66,44,26,16,6,9
2023-2843,Adelaide 1,Hard,32,250,O,20230101,4,H0BH,,,Rinky Hijikata,R,178,AUS,21.854,,,BK24,4,,Gregoire Barrere,R,183,FRA,28.873,,,6-2 6-3,3,Q1,68,3,1,47,30,25,12,9,0,0,3,3,61,32,21,11,8,4,7
2023-2843,Adelaide 1,Hard,32,250,O,20230101,5,DA81,5,,Taro Daniel,R,191,JPN,29.927,,,W0C4,,,Edward Winter,R,178,AUS,18.294,,,6-1 6-0,3,Q1,64,5,0,39,28,21,7,6,3,3,0,1,44,28,13,3,7,5,11
2023-2843,Adelaide 1,Hard,32,250,O,20230101,6,D994,,,James Duckworth,R,183,AUS,30.946,,,S0S1,6,,Ben Shelton,L,193,USA,20.23,,,6-3 7-6(2),3,Q1,94,12,2,60,36,32,16,11,1,1,8,6,85,51,35,16,10,9,10
2023-2843,Adelaide 1,Hard,32,250,O,20230101,7,PD07,7,,Vasek Pospisil,R,193,CAN,32.526,,,MH30,,,John Millman,R,183,AUS,33.55,,,7-5 6-2,3,Q1,92,7,3,54,30,24,15,10,2,3,3,0,69,44,28,10,10,5,9
2023-2843,Adelaide 1,Hard,32,250,O,20230101,8,P09Z,,,Alexei Popyrin,R,196,AUS,23.409,,,Z371,8,,Zhizhen Zhang,R,193,CHN,26.209,,,6-2 6-3,3,Q1,59,5,1,42,26,23,13,9,0,0,1,3,48,26,20,8,8,2,5
2023-2843,Adelaide 1,Hard,32,250,O,20230101,9,KF17,,,Soonwoo Kwon,R,180,KOR,25.081,,,DA81,5,,Taro Daniel,R,191,JPN,29.927,,,7-6(4) 4-6 7-6(2),3,Q2,178,8,7,126,70,58,30,17,6,7,15,2,118,78,57,23,17,1,1
2023-2843,Adelaide 1,Hard,32,250,O,20230101,10,SX50,,,Roman Safiullin,R,185,RUS,25.402,,,PD07,7,,Vasek Pospisil,R,193,CAN,32.526,,,6-7(5) 6-2 6-3,3,Q2,155,10,0,87,62,46,18,15,3,4,13,8,92,46,31,25,14,7,11
2023-2843,Adelaide 1,Hard,32,250,O,20230101,11,H0BH,,,Rinky Hijikata,R,178,AUS,21.854,,,D994,,,James Duckworth,R,183,AUS,30.946,,,7-5 6-4,3,Q2,100,7,4,74,40,31,18,11,6,7,7,2,76,40,30,18,11,6,9
2023-2843,Adelaide 1,Hard,32,250,O,20230101,12,P09Z,,,Alexei Popyrin,R,196,AUS,23.409,,,WB32,,,Yibing Wu,R,183,CHN,23.217,,,6-4 3-6 7-5,3,Q2,143,15,3,94,65,47,13,15,1,4,10,5,116,80,54,14,16,2,6
2023-891,Pune,Hard,32,250,O,20230102,1,Y218,,,Elias Ymer,R,185,SWE,26.73,127,444,Z246,,,Miljan Zekic,R,185,SRB,34.475,233,239,3-0 RET,3,Q1,19,2,1,9,6,6,2,2,0,0,1,0,12,5,3,2,1,1,2
2023-891,Pune,Hard,32,250,O,20230102,2,B0GG,3,,Mattia Bellucci,L,175,ITA,21.588,153,370,O659,,,Vladyslav Orlov,R,188,UKR,27.63,392,117,6-4 6-4,3,Q1,74,17,4,55,37,31,8,10,0,1,2,3,55,37,24,9,10,0,3
2023-891,Pune,Hard,32,250,O,20230102,3,MN13,,,Maximilian Marterer,L,188,GER,27.551,159,354,GA94,,,Prajnesh Gunneswaran,L,188,IND,33.139,348,140,7-6(6) 3-6 7-5,3,Q1,141,5,5,93,52,43,24,16,0,2,13,2,109,66,55,21,17,4,6
2023-891,Pune,Hard,32,250,O,20230102,4,C0E9,,,Flavio Cobolli,R,183,ITA,20.66,171,335,V0GI,,,Aditya Vishal Balsekar,R,183,IND,20.194,1373,3,6-3 6-0,3,Q1,69,3,1,55,30,22,16,8,4,4,0,2,48,23,8,13,7,8,12
2023-891,Pune,Hard,32,250,O,20230102,5,RB56,,,Ramkumar Ramanathan,R,188,IND,28.151,435,98,V0AM,6,,Otto Virtanen,R,193,FIN,21.533,175,321,2-6 7-5 6-2,3,Q1,113,5,3,78,48,34,14,14,3,7,8,1,95,55,37,17,14,10,15
2023-891,Pune,Hard,32,250,O,20230102,6,MM66,,,Nikola Milojevic,R,188,SRB,27.54,231,239,I0A7,8,,Nicholas David Ionel,R,,ROU,20.225,229,240,6-3 6-2,3,Q1,75,3,1,48,31,23,8,8,1,3,2,0,44,30,15,3,9,0,6
2023-891,Pune,Hard,32,250,O,20230102,7,BF55,,,Yuki Bhambri,R,185,IND,30.497,553,57,H928,,,Diego Hidalgo,L,180,ECU,29.708,1166,6,6-2 6-2,3,Q1,67,6,2,41,25,15,13,8,2,4,4,4,72,47,20,12,8,10,16
2023-891,Pune,Hard,32,250,O,20230102,8,KH56,,,Zdenek Kolar,R,183,CZE,26.231,247,218,RB86,,,Sidharth Rawat,R,175,IND,29.7,589,51,6-1 6-7(4) 6-1,3,Q1,107,6,2,77,51,44,14,14,2,3,0,3,73,36,23,19,12,6,11
2023-891,Pune,Hard,32,250,O,20230102,9,Y218,,,Elias Ymer,R,185,SWE,26.73,127,444,BF55,,,Yuki Bhambri,R,185,IND,30.497,553,57,6-1 6-4,3,Q2,71,8,2,56,34,28,12,9,4,4,1,4,49,26,17,10,8,7,10
2023-891,Pune,Hard,32,250,O,20230102,10,RB56,,,Ramkumar Ramanathan,R,188,IND,28.151,435,98,B0GG,3,,Mattia Bellucci,L,175,ITA,21.588,153,370,6-3 7-5,3,Q2,89,14,2,70,49,37,14,11,7,7,2,2,56,37,28,9,10,2,4
2023-891,Pune,Hard,32,250,O,20230102,11,MN13,,,Maximilian Marterer,L,188,GER,27.551,159,354,MM66,,,Nikola Milojevic,R,188,SRB,27.54,231,239,6-2 6-3,3,Q2,72,11,1,44,30,27,9,9,0,0,1,4,50,31,20,7,8,4,7
2023-891,Pune,Hard,32,250,O,20230102,12,C0E9,,,Flavio Cobolli,R,183,ITA,20.66,171,335,KH56,,,Zdenek Kolar,R,183,CZE,26.231,247,218,6-4 6-4,3,Q2,91,5,2,50,26,21,17,10,0,1,3,1,80,55,35,10,10,9,12
2023-301,Auckland,Hard,32,250,O,20230109,1,MJ08,,,Thiago Monteiro,L,183,BRA,28.611,69,729,AE14,,,Daniel Altmaier,R,188,GER,24.326,91,590,3-6 7-5 7-6(6),3,Q1,169,8,3,101,64,52,19,16,4,5,15,1,106,64,51,22,17,3,4
2023-301,Auckland,Hard,32,250,O,20230109,2,CE77,,,Federico Coria,R,180,ARG,30.836,76,695,V0DZ,,,Luca Van Assche,R,178,FRA,18.664,142,403,3-6 6-4 6-2,3,Q1,106,3,3,71,46,35,11,14,2,6,2,1,77,50,27,17,13,5,10
2023-301,Auckland,Hard,32,250,O,20230109,3,E865,,,Christopher Eubanks,R,201,USA,26.68,123,462,L987,3,,Dusan Lajovic,R,183,SRB,32.528,81,646,2-6 6-3 6-4,3,Q1,80,16,4,71,56,44,7,14,1,3,3,1,67,50,37,10,13,1,3
2023-301,Auckland,Hard,32,250,O,20230109,4,L0BV,,,Jiri Lehecka,R,185,CZE,21.169,78,685,CH12,,,Jan Choinski,R,196,GBR,26.582,249,218,5-7 6-0 6-2,3,Q1,96,10,2,69,48,39,13,13,2,3,1,2,77,51,32,10,13,4,9
2023-301,Auckland,Hard,32,250,O,20230109,5,SH90,,,Joao Sousa,R,185,POR,33.78,82,638,R0CG,,,Finn Reynolds,L,185,NZL,23.014,1015,10,7-6(1) 6-4,3,Q1,95,1,2,57,36,28,14,11,2,4,14,4,75,55,38,5,11,4,7
2023-301,Auckland,Hard,32,250,O,20230109,6,BF23,6,,Facundo Bagnis,L,183,ARG,32.865,90,595,T0AP,,,Chun-Hsin Tseng,R,175,TPE,21.421,117,490,6-3 6-3,3,Q1,71,5,0,49,32,27,10,9,2,2,2,3,50,29,23,8,9,1,4
2023-301,Auckland,Hard,32,250,O,20230109,7,BK24,,,Gregoire Barrere,R,183,FRA,28.895,88,603,LI39,,,Alexandar Lazarov,R,191,BUL,25.175,301,170,6-1 6-4,3,Q1,63,3,1,69,41,29,17,9,3,3,3,2,42,22,15,10,8,0,3
2023-301,Auckland,Hard,32,250,O,20230109,8,R0DC,,,Ajeet Rai,R,188,NZL,23.975,470,83,DA81,8,,Taro Daniel,R,191,JPN,29.949,95,572,7-5 0-6 6-3,3,Q1,134,14,1,108,54,36,26,14,5,9,6,0,70,46,32,15,13,1,4
2023-301,Auckland,Hard,32,250,O,20230109,9,MJ08,,,Thiago Monteiro,L,183,BRA,28.611,69,729,R0DC,,,Ajeet Rai,R,188,NZL,23.975,470,83,6-7(5) 6-3 6-4,3,Q2,166,9,1,104,69,51,25,16,5,5,16,1,97,62,48,19,15,9,11
2023-301,Auckland,Hard,32,250,O,20230109,10,BK24,,,Gregoire Barrere,R,183,FRA,28.895,88,603,CE77,,,Federico Coria,R,180,ARG,30.836,76,695,6-3 7-5,3,Q2,81,1,2,68,37,31,15,11,1,2,5,1,61,39,23,14,10,3,6
2023-301,Auckland,Hard,32,250,O,20230109,11,L0BV,,,Jiri Lehecka,R,185,CZE,21.169,78,685,BF23,6,,Facundo Bagnis,L,183,ARG,32.865,90,595,6-2 3-6 6-1,3,Q2,95,6,3,70,45,33,13,12,2,4,5,3,61,44,32,3,12,2,7
2023-301,Auckland,Hard,32,250,O,20230109,12,E865,,,Christopher Eubanks,R,201,USA,26.68,123,462,SH90,,,Joao Sousa,R,185,POR,33.78,82,638,6-7(3) 7-5 6-4,3,Q2,131,19,3,94,68,54,19,17,3,4,7,0,97,69,50,17,17,4,7
2023-8998,Adelaide 2,Hard,32,250,O,20230109,1,Y268,,,Mikael Ymer,R,185,SWE,24.334,77,694,BG23,,,Nikoloz Basilashvili,R,185,GEO,30.877,89,595,6-1 1-1 RET,3,Q1,45,4,1,30,21,14,7,5,0,0,0,3,37,21,12,6,4,4,6
2023-8998,Adelaide 2,Hard,32,250,O,20230109,2,MH30,,,John Millman,R,183,AUS,33.572,148,378,Z419,3,,Bernabe Zapata Miralles,R,183,ESP,25.99,71,712,6-2 6-2,3,Q1,56,3,0,41,27,21,10,8,2,3,1,1,44,24,12,6,8,2,7
2023-8998,Adelaide 2,Hard,32,250,O,20230109,3,M0FH,,,Tomas Machac,R,183,CZE,22.24,115,500,O449,4,,Oscar Otte,R,193,GER,29.484,74,701,6-4 7-6(0),3,Q1,106,4,2,67,41,33,16,11,4,5,14,10,100,48,37,22,11,11,13
2023-8998,Adelaide 2,Hard,32,250,O,20230109,4,O483,,,Christopher O'Connell,R,183,AUS,28.602,79,652,H0BH,,,Rinky Hijikata,R,178,AUS,21.875,169,344,3-6 6-1 6-2,3,Q1,104,12,3,79,46,36,17,12,4,5,6,1,74,51,34,9,12,1,5
2023-8998,Adelaide 2,Hard,32,250,O,20230109,5,EA24,,,Tomas Martin Etcheverry,R,196,ARG,23.48,80,649,SM09,,,Luke Saville,R,188,AUS,29.018,561,56,6-1 6-3,3,Q1,80,5,2,48,32,22,9,8,0,1,1,3,54,35,19,8,8,7,12
2023-8998,Adelaide 2,Hard,32,250,O,20230109,6,KF17,,,Soonwoo Kwon,R,180,KOR,25.103,84,626,PD07,,,Vasek Pospisil,R,193,CAN,32.548,94,576,6-7(7) 6-3 6-3,3,Q1,148,7,3,87,52,43,23,15,2,3,15,4,105,55,40,27,15,3,7
2023-8998,Adelaide 2,Hard,32,250,O,20230109,7,TC61,8,,Jordan Thompson,R,183,AUS,28.723,85,617,SX50,,,Roman Safiullin,R,185,RUS,25.424,98,563,6-4 6-4,3,Q1,81,11,0,53,34,30,11,10,1,1,5,3,67,41,28,14,10,2,4
2023-8998,Adelaide 2,Hard,32,250,O,20230109,8,H756,,,Robin Haase,R,191,NED,35.762,257,207,F724,,,Marton Fucsovics,R,188,HUN,30.919,73,704,6-4 6-3,3,Q1,80,2,7,82,41,32,15,10,6,9,3,3,57,34,21,7,9,2,7
2023-8998,Adelaide 2,Hard,32,250,O,20230109,9,Y268,,,Mikael Ymer,R,185,SWE,24.334,77,694,TC61,8,,Jordan Thompson,R,183,AUS,28.723,85,617,7-6(4) 7-5,3,Q2,120,0,2,69,48,33,15,12,3,6,7,2,82,48,29,17,12,5,9
2023-8998,Adelaide 2,Hard,32,250,O,20230109,10,MH30,,,John Millman,R,183,AUS,33.572,148,378,O483,,,Christopher O'Connell,R,183,AUS,28.602,79,652,6-3 7-6(7),3,Q2,101,7,0,74,50,40,15,11,2,2,6,1,67,36,27,16,10,2,3
2023-8998,Adelaide 2,Hard,32,250,O,20230109,11,EA24,,,Tomas Martin Etcheverry,R,196,ARG,23.48,80,649,H756,,,Robin Haase,R,191,NED,35.762,257,207,6-2 6-4,3,Q2,85,3,0,57,28,19,20,9,1,2,6,1,59,38,21,9,9,4,8
2023-8998,Adelaide 2,Hard,32,250,O,20230109,12,M0FH,,,Tomas Machac,R,183,CZE,22.24,115,500,KF17,,,Soonwoo Kwon,R,180,KOR,25.103,84,626,7-5 3-6 6-3,3,Q2,,14,1,100,65,47,17,15,4,7,3,5,82,52,34,17,15,3,7
2023-580,Australian Open,Hard,128,G,O,20230116,1,TE30,1,,Alejandro Tabilo,L,188,CHI,25.624,102,547,MM66,,,Nikola Milojevic,R,188,SRB,27.578,222,245,6-0 6-2,3,Q1,68,3,0,36,21,17,11,7,0,0,2,9,60,35,20,7,7,6,11
2023-580,Australian Open,Hard,128,G,O,20230116,2,PH71,,,Max Purcell,R,185,AUS,24.789,205,268,CF01,2,,Marco Cecchinato,R,185,ITA,30.294,93,582,6-2 3-2 RET,3,Q1,54,7,0,40,20,14,14,6,0,0,0,3,44,26,15,8,7,4,7
